date,wheat_ton_per_hectare
1917-01-01,0.67
1918-01-01,0.6
1919-01-01,0.42
1920-01-01,0.56
1921-01-01,0.57
1922-01-01,0.5
1923-01-01,0.51
1924-01-01,0.63
1925-01-01,0.62
1926-01-01,0.62
1927-01-01,0.49
1928-01-01,0.59
1929-01-01,0.66
1930-01-01,0.51
1931-01-01,0.55
1932-01-01,0.48
1933-01-01,0.65
1934-01-01,0.59
1935-01-01,0.67
1936-01-01,0.45
1937-01-01,0.39
1938-01-01,0.56
1939-01-01,0.49
1940-01-01,0.46
1941-01-01,0.38
1942-01-01,0.52
1943-01-01,0.45
1944-01-01,0.31
1945-01-01,0.34
1946-01-01,0.26
1947-01-01,0.56
1948-01-01,0.5
1949-01-01,0.41
1950-01-01,0.67
1951-01-01,0.6
1952-01-01,0.48
1953-01-01,0.57
1954-01-01,0.53
1955-01-01,0.7
1956-01-01,0.63
1957-01-01,0.58
1958-01-01,0.58
1959-01-01,0.63
1960-01-01,0.61
1961-01-01,0.62
1962-01-01,0.51
1963-01-01,0.65
1964-01-01,0.81
1965-01-01,0.49
1966-01-01,0.48
1967-01-01,0.83
1968-01-01,0.75
1969-01-01,0.71
1970-01-01,0.72
1971-01-01,0.83
1972-01-01,0.87
1973-01-01,0.92
1974-01-01,0.86
1975-01-01,0.97
1976-01-01,1.16
1977-01-01,1.05
1978-01-01,0.9
1979-01-01,1.1
1980-01-01,0.9
1981-01-01,1.3
1982-01-01,1.21
1983-01-01,0.98
1984-01-01,1.21
1985-01-01,0.85
1986-01-01,1.2
1987-01-01,1.8
1988-01-01,1.8
1989-01-01,1.09
1990-01-01,1.09
1991-01-01,1.49
1992-01-01,1.77
1993-01-01,1.85
1994-01-01,1.76
1995-01-01,1.45
1996-01-01,2.1
1997-01-01,2.03
1998-01-01,2.27
1999-01-01,2.47
2000-01-01,2.51
2001-01-01,2.52
2002-01-01,2.58
2003-01-01,2.06
2004-01-01,2.02
2005-01-01,2.37
2006-01-01,2.75
2007-01-01,3.01
2008-01-01,2.85
2009-01-01,3.05
2010-01-01,2.56
2011-01-01,3.15
2012-01-01,3.63
2013-01-01,3.7
2014-01-01,3.67
2015-01-01,2.99
2016-01-01,3.76
2017-01-01,3.12
2018-01-01,3.71
2019-01-01,2.84
2020-01-01,4.16
2021-01-01,4.36
2022-01-01,3.72
2023-01-01,3.81
