date,tasmin,tasmax,mineral_fertilizers_nitrogen_per_unit_area,mineral_fertilizers_phosphorus_per_unit_area,mineral_fertilizers_potassium_per_unit_area,manure_applied_to_soils_nitrogen_per_unit_area,manure_applied_to_soils_phosphorus_per_unit_area,manure_applied_to_soils_potassium_per_unit_area,atmospheric_deposition_nitrogen_per_unit_area,crop_removal_nitrogen_per_unit_area,crop_removal_phosphorus_per_unit_area,crop_removal_potassium_per_unit_area,biological_fixation_nitrogen_per_unit_area,seed_nitrogen_per_unit_area,seed_phosphorus_per_unit_area,leaching_nitrogen_per_unit_area,volatilisation_nitrogen_per_unit_area
1961-01-01,24.98,10.11,3.4189,4.3381,2.0515,3.4009,0.7601,2.8515,2.7993,12.5593,2.3051,4.8625,2.9618,0.1545,0.0322,1.0825,2.2274
1962-01-01,24.89,10.09,5.2001,5.0978,2.3802,3.3933,0.7596,2.8381,2.8541,12.9591,2.38,5.0435,2.7987,0.1457,0.0314,1.1986,2.5779
1963-01-01,24.8,10.07,6.222,4.8671,2.734,3.3342,0.7461,2.7895,2.9088,13.8485,2.5312,5.3378,3.4909,0.1644,0.0345,1.289,2.8669
1964-01-01,24.74,10.05,6.7846,4.7565,4.2824,3.2523,0.7302,2.7093,2.9636,12.2743,2.1456,4.9416,2.9887,0.1592,0.0319,1.3289,3.0111
1965-01-01,24.73,10.04,7.1434,6.3714,4.5506,3.2288,0.7213,2.7134,3.0183,11.4335,2.0862,4.69,2.9622,0.1341,0.0278,1.3601,3.1117
1966-01-01,24.76,10.05,7.0919,7.7381,5.1107,3.0838,0.6786,2.6057,3.073,13.3625,2.2886,5.4487,2.9799,0.128,0.0274,1.3259,3.0527
1967-01-01,24.81,10.06,9.4714,8.0384,5.1788,3.0538,0.6715,2.5909,3.1277,21.1059,3.8607,7.846,4.0222,0.2202,0.048,1.5579,3.7576
1968-01-01,24.85,10.07,10.3882,8.3976,5.7581,3.1723,0.7002,2.6771,3.1824,14.7573,2.5477,5.9454,3.4471,0.1931,0.0387,1.6733,4.0682
1969-01-01,24.86,10.09,10.8121,8.4759,5.3366,3.2792,0.7287,2.7446,3.2371,15.4474,2.6273,6.1433,3.7037,0.1869,0.0377,1.737,4.2274
1970-01-01,24.83,10.11,13.0048,8.8168,5.7542,3.1929,0.7062,2.7128,3.2918,15.6929,2.8184,6.1766,3.794,0.2048,0.0415,1.9394,4.8604
1971-01-01,24.75,10.12,14.988,9.5889,6.1484,2.9646,0.6537,2.5285,3.6179,20.2437,3.6618,7.6531,3.654,0.2342,0.0495,2.0917,5.3858
1972-01-01,24.65,10.12,17.3671,10.2391,6.9554,2.9879,0.6637,2.5245,3.7294,21.4012,3.9104,8.0894,3.6405,0.2493,0.0531,2.4151,6.349
1973-01-01,24.56,10.12,16.5799,10.5671,7.5522,3.0547,0.6837,2.5438,3.8823,15.1493,2.5269,6.0327,2.4591,0.2192,0.042,2.2693,5.8914
1974-01-01,24.5,10.11,17.3195,11.2538,7.837,3.0479,0.6822,2.5728,3.9396,23.982,4.438,8.9169,4.3415,0.2596,0.0563,2.2593,5.8635
1975-01-01,24.5,10.08,20.6221,11.2869,7.5759,3.0323,0.6829,2.5377,4.058,21.0893,3.8549,8.1295,2.7857,0.2518,0.0533,2.6501,7.0406
1976-01-01,24.55,10.05,22.6142,11.5352,7.7586,3.0515,0.6881,2.546,4.1496,20.338,3.5705,7.881,2.1792,0.2731,0.055,2.8708,7.6969
1977-01-01,24.66,10.02,24.5342,11.5179,8.0279,3.1267,0.7063,2.5993,4.1649,23.0307,4.1688,8.7566,2.6305,0.2708,0.0571,3.0777,8.2951
1978-01-01,24.79,10.02,27.0314,12.5742,7.6987,3.2304,0.7315,2.6707,4.1226,23.8343,4.3424,9.1561,3.1194,0.2645,0.0564,3.3489,9.0775
1979-01-01,24.93,10.04,28.5228,13.6146,7.4815,3.1409,0.7091,2.6297,4.1427,21.779,3.9064,8.5621,2.8882,0.2762,0.0565,3.4815,9.5022
1980-01-01,25.06,10.11,33.2143,14.2254,8.2521,3.0704,0.6932,2.5585,4.0343,22.9569,4.3734,8.9048,3.7463,0.2452,0.0539,3.9362,10.8874
1981-01-01,25.17,10.24,37.614,17.0004,9.3179,3.0786,0.6961,2.5446,4.317,29.8583,5.6792,11.1073,3.4434,0.3455,0.0752,4.3781,12.2106
1982-01-01,25.25,10.39,33.8451,15.6247,9.049,3.185,0.7188,2.6296,4.2313,22.334,4.0155,8.8364,2.4797,0.3075,0.0627,4.0215,11.109
1983-01-01,25.31,10.54,26.1644,12.0185,7.2376,3.2711,0.7412,2.6865,4.146,14.7873,2.5618,6.3192,2.2856,0.2205,0.0431,3.2707,8.8306
1984-01-01,25.36,10.67,29.0944,12.8154,8.3127,3.0944,0.6995,2.5533,4.2662,19.1453,3.1621,7.9231,2.5889,0.2742,0.0527,3.5283,9.6567
1985-01-01,25.38,10.74,26.9538,11.2278,8.0107,3.024,0.6878,2.4504,4.2712,21.4644,3.8656,8.7335,2.777,0.254,0.0535,3.3002,8.9933
1986-01-01,25.38,10.74,26.0163,10.1203,7.3716,3.023,0.6843,2.468,4.2589,21.7702,3.9518,8.7045,2.5734,0.2986,0.0609,3.2062,8.7118
1987-01-01,25.37,10.68,22.9868,8.3763,6.3731,3.0306,0.6871,2.4645,4.3751,24.1485,4.2893,9.5185,2.459,0.3654,0.0713,2.9048,7.8052
1988-01-01,25.35,10.59,26.57,9.3902,7.9462,3.1061,0.7064,2.5101,4.4515,24.843,4.4084,9.7676,3.1635,0.3934,0.0753,3.2785,8.9036
1989-01-01,25.32,10.49,25.9765,8.4758,7.3442,3.1957,0.7313,2.5512,4.5423,26.2891,4.9492,10.4938,2.7451,0.3154,0.068,3.2369,8.752
1990-01-01,25.28,10.42,25.942,8.1026,7.8089,3.4329,0.7809,2.6634,4.5962,22.4582,4.058,9.2818,2.5509,0.2806,0.0583,3.2808,8.8125
1991-01-01,25.25,10.4,24.4067,7.6786,6.992,3.4789,0.7912,2.7133,4.6236,22.5174,3.9853,9.2415,2.6127,0.2927,0.0596,3.1364,8.3657
1992-01-01,25.21,10.43,24.2485,7.089,7.0081,3.3328,0.7601,2.581,4.5981,12.2611,2.0498,5.7227,2.5826,0.1727,0.0341,3.0914,8.2744
1993-01-01,25.18,10.49,26.9654,8.6085,7.1024,3.2158,0.7332,2.4823,4.5159,19.4217,3.7708,7.8762,2.3648,0.263,0.056,3.34,9.0554
1994-01-01,25.16,10.57,24.522,7.0412,7.0548,3.1958,0.731,2.4324,4.5969,23.4988,4.5646,9.2496,2.2263,0.2683,0.0602,3.0917,8.3163
1995-01-01,25.14,10.63,25.1375,6.8145,7.6213,3.3462,0.7673,2.5329,4.7203,16.3921,2.8117,7.0851,1.9389,0.2359,0.0465,3.183,8.5451
1996-01-01,25.13,10.67,26.0543,7.179,7.6355,3.357,0.7692,2.5326,4.8731,24.288,4.4018,9.7199,2.4745,0.3146,0.0646,3.2768,8.8234
1997-01-01,25.13,10.66,25.9843,6.2862,6.9674,3.3895,0.7772,2.5491,5.5474,23.2211,4.1763,9.4486,2.2402,0.2919,0.0608,3.2731,8.8025
1998-01-01,25.15,10.63,26.2767,6.0842,8.437,3.4174,0.7852,2.5737,5.4705,21.1187,3.6256,9.0024,2.5827,0.2529,0.0516,3.2823,8.8218
