"year","stage","pet","cloud_cover","maximum_temperature","minimum_temperature","vapour_pressure","diurnal_temperature_range","mean_temperature","precipitation","rain_days","ground_frost_frequency","gdd","hdd","cumulative_precipitation","soil_moisture_index","soil_temperature_index","uv_index"
1918,"sowing",2.3,27.3,20.8,5.7,9.3,15.1,13.2,24.7,4.4,5.6,8.25,8.2,24.7,-9.73913043478261,13.25,0.553113553113553
1918,"germination",2.1,22.75,18.6,3.05,7.55,15.5,10.8,39.1,6.9,21.6,11.65,11.6,63.8,-17.6190476190476,10.825,0.683516483516484
1918,"tillering",2.9,25.9,19.7,4,7.5,15.7,11.8,28.9,3.9,8.7,6.85,6.8,92.7,-8.96551724137931,11.85,0.606177606177606
1918,"heading",4.35,36.45,24.85,9.8,10.6,15.1,17.3,79.9,12.9,2.1,24.65,24.6,172.6,-17.367816091954,17.325,0.412894375857339
1918,"maturity",5.45,41.95,27.95,13.75,13.5,14.15,20.85,106.8,13.9,0.1,31.7,31.7,279.4,-18.5963302752294,20.85,0.33849821215733
1919,"sowing",2.3,28.8,21,6.2,9.5,14.7,13.6,10.5,2.4,4.7,8.6,8.6,10.5,-3.56521739130435,13.6,0.513888888888889
1919,"germination",2.1,23.5,19,3.6,7.95,15.4,11.3,18.4,4,19.3,12.6,12.6,28.9,-7.76190476190476,11.3,0.65531914893617
1919,"tillering",3,25.4,20.6,4.8,7.9,15.8,12.6,14.6,3.1,7.3,7.7,7.6,43.5,-3.86666666666667,12.7,0.622047244094488
1919,"heading",4.3,36.25,24.1,8.95,10.05,15.1,16.5,33.9,7.9,3.8,23.05,23,77.4,-6.88372093023256,16.525,0.417931034482759
1919,"maturity",5.45,42.25,27.8,13.7,13.35,14.1,20.75,90.8,13.8,0.1,31.5,31.5,168.2,-15.6605504587156,20.75,0.333727810650888
1920,"sowing",2.4,28,21.6,6.7,9.8,14.9,14.1,19.9,3.8,4.1,9.15,9.1,19.9,-7.29166666666667,14.15,0.532142857142857
1920,"germination",2,22.6,18.3,2.7,7.4,15.6,10.5,16.1,2.8,11.3,5.5,5.5,36,-7.05,10.5,0.690265486725664
1920,"tillering",2.6,23.55,20.25,4.45,8.05,15.8,12.35,29.3,5.7,16.1,14.7,14.7,65.3,-10.2692307692308,12.35,0.670912951167728
1920,"heading",4.25,37.25,23.95,9,9.95,14.95,16.45,78.6,11.7,3.3,22.95,22.9,143.9,-17.4941176470588,16.475,0.401342281879195
1920,"maturity",5.55,41.6,28.6,14.3,13.95,14.3,21.45,94.9,14.4,0,32.9,32.9,238.8,-16.0990990990991,21.45,0.34375
1921,"sowing",2.3,29,20.8,6.2,9.4,14.7,13.5,24.2,4.2,4.9,8.5,8.5,24.2,-9.52173913043478,13.5,0.503448275862069
1921,"germination",2.05,22.7,18.15,2.6,7.35,15.55,10.35,34.4,5.3,23.6,10.75,10.7,58.6,-15.780487804878,10.375,0.685022026431718
1921,"tillering",2.9,25,19.7,3.8,7.3,15.9,11.7,9,2,9.3,6.75,6.7,67.6,-2.10344827586207,11.75,0.636
1921,"heading",4.3,36.1,23.9,8.75,9.85,15.2,16.3,60,9.5,3.8,22.65,22.6,127.6,-12.953488372093,16.325,0.419667590027701
1921,"maturity",5.4,42.55,27.5,13.5,13.2,14,20.5,175.7,19.4,0.1,31,31,303.3,-31.537037037037,20.5,0.329024676850764
1922,"sowing",2.3,28.7,21,6.3,9.4,14.8,13.6,29.6,4.5,4.8,8.65,8.6,29.6,-11.8695652173913,13.65,0.51219512195122
1922,"germination",2.1,23.35,18.9,3.5,7.85,15.4,11.2,35.4,5.4,20,12.4,12.4,65,-15.8571428571429,11.2,0.659528907922912
1922,"tillering",3,25.4,20.5,4.7,7.9,15.8,12.6,30.6,4.6,7.7,7.6,7.6,95.6,-9.2,12.6,0.622047244094488
1922,"heading",4.3,37.7,24.55,9.7,10.55,14.85,17.1,62.6,9.5,2.1,24.25,24.2,158.2,-13.5581395348837,17.125,0.393899204244032
1922,"maturity",5.5,42.05,28.15,14.05,13.75,14.1,21.1,129.3,15.8,0.1,32.2,32.2,287.5,-22.5090909090909,21.1,0.335315101070155
1923,"sowing",2.4,27.1,21.1,5.9,9.2,15.1,13.5,26.5,4.3,5.2,8.5,8.5,26.5,-10.0416666666667,13.5,0.560885608856089
1923,"germination",2.1,22.3,18.85,3.2,7.65,15.65,11.05,42.9,7.4,21,12.05,12.1,69.4,-19.4285714285714,11.025,0.701793721973094
1923,"tillering",3,25.4,21,5.2,8.2,15.8,13.1,9.1,2.4,6.5,8.1,8.1,78.5,-2.03333333333333,13.1,0.622047244094488
1923,"heading",4.45,35.55,25.3,10.05,10.85,15.25,17.65,28,6.9,2.2,25.35,25.3,106.5,-5.29213483146067,17.675,0.428973277074543
1923,"maturity",5.55,42.25,28.65,14.6,14.2,14.1,21.6,100.8,14.5,0,33.25,33.2,207.3,-17.1621621621622,21.625,0.332544378698225
1924,"sowing",2.3,27.7,21,6,9.4,15,13.5,17.7,3.4,5.1,8.5,8.5,17.7,-6.69565217391304,13.5,0.541516245487365
1924,"germination",2,23.5,18.5,3.1,7.7,15.3,10.8,9.5,1.9,10.5,5.8,5.8,27.2,-3.75,10.8,0.65531914893617
1924,"tillering",2.55,23.85,19.1,3.35,7.4,15.8,11.2,24.7,4.9,20.6,12.45,12.4,51.9,-8.68627450980392,11.225,0.660377358490566
1924,"heading",4.3,37.2,23.9,8.95,9.9,14.9,16.35,67.9,10.2,3.1,22.85,22.7,119.8,-14.7906976744186,16.425,0.401881720430108
1924,"maturity",5.35,42.65,27.55,13.6,13.35,14,20.55,169.5,18.6,0.1,31.15,31.1,289.3,-30.6822429906542,20.575,0.327080890973036
1925,"sowing",2.3,29.2,21,6.3,9.6,14.7,13.6,37,5.3,4.7,8.65,8.6,37,-15.0869565217391,13.65,0.503424657534247
1925,"germination",2.1,22.15,18.5,2.8,7.45,15.7,10.6,49.2,8,22.8,11.3,11.2,86.2,-22.4285714285714,10.65,0.708803611738149
1925,"tillering",3,24.6,21.3,5.2,8.3,16,13.2,7.7,2.3,6.4,8.25,8.2,93.9,-1.56666666666667,13.25,0.654471544715447
1925,"heading",4.25,37.25,23.95,9.05,10.05,14.95,16.45,75.1,11.1,2.9,23,22.9,169,-16.6705882352941,16.5,0.4
1925,"maturity",5.55,41.55,28.4,14.15,13.75,14.3,21.25,82.9,14,0.1,32.55,32.5,251.9,-13.9369369369369,21.275,0.342960288808664
1926,"sowing",2.4,27.8,21.7,6.7,9.8,15,14.1,24.7,4.4,4.1,9.2,9.1,24.7,-9.29166666666667,14.2,0.539568345323741
1926,"germination",2,23.8,18.15,2.9,7.5,15.3,10.45,31.1,5.9,22.7,11.05,10.9,55.8,-14.55,10.525,0.640756302521008
1926,"tillering",3,24.2,20.5,4.4,7.7,16.1,12.4,5.7,1.6,8,7.45,7.4,61.5,-0.9,12.45,0.665289256198347
1926,"heading",4.25,36.55,24,8.95,9.95,15.05,16.5,66.5,10.7,3.4,22.95,23,128,-14.6470588235294,16.475,0.411764705882353
1926,"maturity",5.5,41.3,27.85,13.55,13.25,14.3,20.65,105.4,15,0.1,31.4,31.3,233.4,-18.1636363636364,20.7,0.346246973365617
1927,"sowing",2.4,26.5,21.4,6.1,9.6,15.3,13.7,12.4,2.7,4.8,8.75,8.7,12.4,-4.16666666666667,13.75,0.577358490566038
1927,"germination",2.1,23.3,19.2,3.75,8.05,15.45,11.45,24.6,4.8,18.7,12.95,12.9,37,-10.7142857142857,11.475,0.663090128755365
1927,"tillering",3,24.7,21,5,8.1,16,12.9,17.5,3.3,6.9,8,7.9,54.5,-4.83333333333333,13,0.647773279352227
1927,"heading",4.4,36.1,25.1,9.95,10.7,15.2,17.55,62.5,9.1,1.7,25.05,25.1,117,-13.2045454545455,17.525,0.419667590027701
1927,"maturity",5.55,41.8,28.65,14.4,14.1,14.2,21.5,92.5,13.7,0,33.05,33,209.5,-15.6666666666667,21.525,0.340909090909091
1928,"sowing",2.4,28.9,21.5,6.7,9.8,14.7,14.1,7,1.8,4,9.1,9.1,7,-1.91666666666667,14.1,0.512110726643599
1928,"germination",2,23.7,19,3.7,8,15.3,11.3,9.8,1.9,9.4,6.35,6.3,16.8,-3.9,11.35,0.645569620253165
1928,"tillering",2.6,23.5,19.85,4.05,7.75,15.85,11.9,23.5,4.9,17.6,13.9,13.8,40.3,-8.03846153846154,11.95,0.672340425531915
