production_year,maize_hectare,maize_ton,maize_ton_per_hectare,maize_comm_hectare,maize_comm_ton,maize_comm_ton_per_hectare,maize_non_comm_hectare,maize_non_comm_ton,maize_non_comm_ton_per_hectare,wheat_hectare,wheat_ton,wheat_ton_per_hectare,groundnuts_hectare,groundnuts_ton,groundnuts_ton_per_hectare,sunflowerseed_hectare,sunflowerseed_ton,sunflowerseed_ton_per_hectare,sorghum_hectare,sorghum_ton,sorghum_ton_per_hectare,soybeans_hectare,soybeans_ton,soybeans_ton_per_hectare,barley_hectare,barley_ton,barley_ton_per_hectare,canola_hectare,canola_ton,canola_ton_per_hectare,oats_hectare,oats_ton,oats_ton_per_hectare,
1910/11,,,,,783081.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1911/12,,,,,826988.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1912/13,,,,,873164.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1913/14,,,,,922152.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1914/15,,,,,1019130.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1915/16,,,,,982933.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1916/17,,,,,1085899.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1917/18,0.00,,,,1146680.58,,,,,399352.42,267002.27,0.67,,,,,,,,,,,,,,,,,,,,,,
1918/19,,,,,1052152.00,,,,,362585.00,217606.36,0.60,,,,,,,,,,,,,,,,,,,,,,
1919/20,,,,1619867.32,1138153.05,0.70,,,,331601.16,139883.64,0.42,,,,,,,,,,,,,,,,,,,,,,
1920/21,,,,1543767.02,1211000.00,0.78,,,,354284.00,199731.18,0.56,,,,,,,,,,,,,,,,,,,,,,
1921/22,,,,1861017.91,1218000.00,0.65,,,,401541.29,229607.82,0.57,,,,,,,,,,,,,,,,,,,,,,
1922/23,,,,1865041.90,1793000.00,0.96,,,,343097.21,171032.18,0.50,,,,,,,,,,,,,,,,,,,,,,
1923/24,,,,1565000.00,1020000.00,0.65,,,,315260.46,160317.45,0.51,,,,,,,,,,,,,,,,,,,,,,
1924/25,,,,2240000.00,2204000.00,0.98,,,,305519.78,191553.00,0.63,,,,,,,,,,,,,,,,,,,,,,
1925/26,,,,1716000.00,991000.00,0.58,,,,391834.88,244504.91,0.62,,,,,,,,,,,,,,,,,,,,,,
1926/27,,,,2101000.00,1656000.00,0.79,,,,356406.90,219356.91,0.62,,,,,,,,,,,,,,,,,,,,,,
1927/28,,,,1916000.00,1741000.00,0.91,,,,313283.20,154762.27,0.49,,,,,,,,,,,,,,,,,,,,,,
1928/29,,,,2173000.00,1696000.00,0.78,,,,333802.87,197407.91,0.59,,,,,,,,,,,,,,,,,,,,,,
1929/30,,,,2585000.00,2031000.00,0.79,,,,438945.67,289787.36,0.66,,,,,,,,,,,,,,,,,,,,,,
1930/31,,,,2173000.00,1452000.00,0.67,,227000.00,,494239.65,253547.18,0.51,,,,,,,,,,,,,,,,,,,,,,
1931/32,,,,2439000.00,1727000.00,0.71,,227000.00,,676001.41,373995.91,0.55,,,,,,,,,,,,,,,,,,,,,,
1932/33,,,,2458000.00,757000.00,0.31,,227000.00,,598126.52,289825.91,0.48,,,,,,,,,,,,,,,,,,,,,,
1933/34,,,,2393000.00,2188000.00,0.91,,227000.00,,479990.16,313408.00,0.65,,,,,,,,,,,,,,,,,,,,,,
1934/35,,,,2404000.00,1684000.00,0.70,,227000.00,,754613.91,446579.55,0.59,,,,,,,,,,,,,,,,,,,,,,
1935/36,,,,2090000.00,1359000.00,0.65,,218000.00,,933527.14,627342.27,0.67,,,,,,,,,,,,,,,,,,,,,,
1936/37,3285366.42,2774000.00,0.84,2530000.00,2556000.00,1.01,755366.42,218000.00,0.29,943226.70,425090.91,0.45,24000.00,9800.00,0.41,4000.00,1550.00,0.39,99000.00,72600.00,0.73,,,,43000.00,32000.00,0.74,,,,,,,
1937/38,3313071.01,1964000.00,0.59,2246000.00,1746000.00,0.78,1067071.01,218000.00,0.20,720484.70,284545.45,0.39,24000.00,7100.00,0.30,4000.00,1550.00,0.39,99000.00,72600.00,0.73,,,,43000.00,32000.00,0.74,,,,,,,
1938/39,3243390.01,2851000.00,0.88,2515000.00,2633000.00,1.05,728390.01,218000.00,0.30,819861.90,462636.36,0.56,24000.00,9900.00,0.41,4000.00,1550.00,0.39,99000.00,72600.00,0.73,,,,43000.00,32000.00,0.74,,,,,,,
1939/40,3565592.50,2096000.00,0.59,2581000.00,1878000.00,0.73,984592.50,218000.00,0.22,848989.70,417545.45,0.49,24000.00,7000.00,0.29,4000.00,1550.00,0.39,99000.00,72600.00,0.73,,,,43000.00,32000.00,0.74,,,,,,,
1940/41,3457811.67,2434000.00,0.70,2587000.00,2207000.00,0.85,870811.67,227000.00,0.26,934659.70,426545.45,0.46,26000.00,6700.00,0.26,7000.00,2400.00,0.34,154000.00,127000.00,0.82,,,,43000.00,32000.00,0.74,,,,,,,
1941/42,3632507.18,1709000.00,0.47,2360000.00,1482000.00,0.63,1272507.18,227000.00,0.18,954363.80,358636.36,0.38,26000.00,4100.00,0.16,7000.00,2400.00,0.34,154000.00,127000.00,0.82,,,,55000.00,42000.00,0.76,,,,,,,
1942/43,3745473.72,2435000.00,0.65,2791000.00,2208000.00,0.79,954473.72,227000.00,0.24,1082868.80,567636.36,0.52,26000.00,8500.00,0.33,7000.00,2400.00,0.34,154000.00,127000.00,0.82,,,,55000.00,42000.00,0.76,,,,,,,
1943/44,4075937.57,1894000.00,0.46,2762000.00,1667000.00,0.60,1313937.57,227000.00,0.17,1096576.00,489454.55,0.45,26000.00,8100.00,0.31,7000.00,2400.00,0.34,154000.00,127000.00,0.82,,,,55000.00,42000.00,0.76,,,,,,,
1944/45,4306831.69,1898000.00,0.44,2970000.00,1671000.00,0.56,1336831.69,227000.00,0.17,1017759.60,311272.73,0.31,26000.00,4700.00,0.18,7000.00,2400.00,0.34,154000.00,127000.00,0.82,,,,55000.00,42000.00,0.76,,,,,,,
1945/46,4047344.06,1906000.00,0.47,2575000.00,1643000.00,0.64,1472344.06,263000.00,0.18,823288.70,276636.36,0.34,53000.00,8300.00,0.16,67000.00,21200.00,0.32,154000.00,127000.00,0.82,6000.00,1500.00,0.25,55000.00,30000.00,0.55,,,,,,,
1946/47,4149703.10,2660000.00,0.64,2941000.00,2397000.00,0.82,1208703.10,263000.00,0.22,992058.60,256363.64,0.26,53000.00,21000.00,0.40,67000.00,21200.00,0.32,136000.00,99800.00,0.73,6000.00,1500.00,0.25,53000.00,30000.00,0.57,,,,,,,
