Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"ESB","Cropland Nutrient Balance","710","South Africa","7275","Cropland nitrogen","5087","Mineral fertilizers","1961","1961","t","41659.2","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7276","Cropland nitrogen per unit area","5087","Mineral fertilizers","1961","1961","kg/ha","3.4189","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7280","Cropland phosphorus","5087","Mineral fertilizers","1961","1961","t","52859.6154","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7281","Cropland phosphorus per unit area","5087","Mineral fertilizers","1961","1961","kg/ha","4.3381","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7282","Cropland potassium","5087","Mineral fertilizers","1961","1961","t","24997.608","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7283","Cropland potassium per unit area","5087","Mineral fertilizers","1961","1961","kg/ha","2.0515","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7275","Cropland nitrogen","5087","Mineral fertilizers","1962","1962","t","63623.7","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7276","Cropland nitrogen per unit area","5087","Mineral fertilizers","1962","1962","kg/ha","5.2001","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7280","Cropland phosphorus","5087","Mineral fertilizers","1962","1962","t","62371.1952","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7281","Cropland phosphorus per unit area","5087","Mineral fertilizers","1962","1962","kg/ha","5.0978","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7282","Cropland potassium","5087","Mineral fertilizers","1962","1962","t","29121.4215","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7283","Cropland potassium per unit area","5087","Mineral fertilizers","1962","1962","kg/ha","2.3802","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7275","Cropland nitrogen","5087","Mineral fertilizers","1963","1963","t","76500","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7276","Cropland nitrogen per unit area","5087","Mineral fertilizers","1963","1963","kg/ha","6.222","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7280","Cropland phosphorus","5087","Mineral fertilizers","1963","1963","t","59841","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7281","Cropland phosphorus per unit area","5087","Mineral fertilizers","1963","1963","kg/ha","4.8671","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7282","Cropland potassium","5087","Mineral fertilizers","1963","1963","t","33615","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7283","Cropland potassium per unit area","5087","Mineral fertilizers","1963","1963","kg/ha","2.734","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7275","Cropland nitrogen","5087","Mineral fertilizers","1964","1964","t","83790","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7276","Cropland nitrogen per unit area","5087","Mineral fertilizers","1964","1964","kg/ha","6.7846","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7280","Cropland phosphorus","5087","Mineral fertilizers","1964","1964","t","58742.28","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7281","Cropland phosphorus per unit area","5087","Mineral fertilizers","1964","1964","kg/ha","4.7565","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7282","Cropland potassium","5087","Mineral fertilizers","1964","1964","t","52887.6","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7283","Cropland potassium per unit area","5087","Mineral fertilizers","1964","1964","kg/ha","4.2824","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7275","Cropland nitrogen","5087","Mineral fertilizers","1965","1965","t","88650","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7276","Cropland nitrogen per unit area","5087","Mineral fertilizers","1965","1965","kg/ha","7.1434","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7280","Cropland phosphorus","5087","Mineral fertilizers","1965","1965","t","79068.6","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7281","Cropland phosphorus per unit area","5087","Mineral fertilizers","1965","1965","kg/ha","6.3714","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7282","Cropland potassium","5087","Mineral fertilizers","1965","1965","t","56473.2","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7283","Cropland potassium per unit area","5087","Mineral fertilizers","1965","1965","kg/ha","4.5506","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7275","Cropland nitrogen","5087","Mineral fertilizers","1966","1966","t","88110","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7276","Cropland nitrogen per unit area","5087","Mineral fertilizers","1966","1966","kg/ha","7.0919","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7280","Cropland phosphorus","5087","Mineral fertilizers","1966","1966","t","96138","E","Estimated value",""
