YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1902,13.6,13.0,13.1,13.5,14.7,15.0,15.7,15.7,15.3,14.4,14.0,13.9
1903,13.6,13.0,13.1,13.5,14.7,15.0,15.7,15.7,15.3,14.4,14.0,13.9
1904,13.6,13.0,13.1,13.5,14.7,15.0,15.7,15.7,15.3,14.4,14.0,13.9
1905,13.6,13.0,13.1,13.5,14.7,15.0,15.7,15.7,15.3,14.4,14.0,13.9
1906,13.6,13.0,13.1,13.5,14.7,15.0,15.7,15.7,15.3,14.4,14.0,13.9
1907,13.6,13.0,13.1,13.5,14.7,15.0,15.7,15.7,15.3,14.4,14.0,13.9
1908,13.6,13.0,13.1,13.5,14.7,15.0,15.7,15.7,15.3,14.4,14.0,13.9
1909,13.6,13.0,13.1,13.5,14.7,15.5,15.7,15.7,15.3,14.4,14.0,13.9
1910,13.6,13.3,13.3,13.9,15.2,15.3,15.9,16.0,15.5,14.5,14.4,13.9
1911,13.8,13.0,13.4,13.6,14.5,15.2,15.9,15.8,15.6,14.4,14.2,14.3
1912,13.9,13.3,13.6,13.5,14.8,15.0,15.8,15.8,15.9,14.8,14.6,14.1
1913,13.8,13.1,13.4,13.5,15.0,15.3,16.0,15.8,15.4,14.8,14.2,14.4
1914,13.8,13.2,13.3,13.8,14.6,15.2,16.0,16.0,15.7,14.4,14.2,14.0
1915,13.5,13.3,13.1,13.5,14.7,15.2,15.5,16.0,15.4,15.0,14.5,14.2
1916,14.0,13.4,13.4,13.8,15.1,15.2,16.1,16.2,15.7,14.7,14.2,14.0
1917,13.9,13.1,13.3,13.8,14.9,15.2,15.8,15.7,15.1,14.6,13.9,14.1
1918,13.5,13.0,13.1,13.9,15.1,15.3,15.7,15.7,15.4,14.8,14.2,14.1
1919,14.0,13.2,13.5,13.5,14.7,15.1,15.7,15.8,15.5,14.7,14.0,14.2
1920,13.6,13.2,13.2,13.9,14.9,15.6,15.7,15.9,15.4,14.5,14.2,14.4
1921,13.9,13.0,13.6,13.7,14.7,15.4,15.7,15.9,15.8,14.6,14.0,14.0
1922,13.8,13.0,13.3,13.8,14.8,15.0,15.8,15.8,15.3,14.4,14.2,14.0
1923,13.6,13.0,13.2,13.9,15.1,15.3,16.0,15.8,15.7,14.8,14.2,14.0
1924,13.9,13.0,13.0,13.8,15.0,15.3,15.7,15.9,15.2,14.6,14.0,14.0
1925,13.7,13.0,12.8,13.6,14.7,15.7,15.7,16.0,15.2,14.7,14.3,14.3
1926,13.7,13.0,13.3,13.9,15.0,14.8,15.8,16.1,15.2,14.9,14.5,14.1
1927,13.9,13.4,13.4,13.8,15.3,15.2,15.7,16.0,15.7,14.7,14.3,14.1
1928,13.8,13.5,13.3,13.6,14.7,15.3,15.8,15.9,15.5,14.4,14.4,13.9
1929,13.7,13.1,13.1,13.8,15.0,14.9,15.8,15.6,15.0,14.5,14.0,14.0
1930,13.7,13.2,13.1,13.5,14.9,15.0,15.8,15.8,15.3,14.6,14.3,14.1
1931,13.7,13.2,13.2,13.7,14.9,15.1,15.4,15.9,15.6,14.7,14.1,14.2
1932,13.9,13.2,13.3,13.5,14.6,15.1,16.1,15.8,15.3,14.8,14.2,14.2
1933,13.9,13.5,13.6,13.8,15.1,15.3,15.9,15.9,15.4,15.0,14.2,14.3
1934,13.9,13.4,13.3,13.7,14.8,14.6,15.6,15.7,15.7,14.8,14.2,14.1
