YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1902,0.0,0.0,0.0,0.6,3.3,10.8,10.4,8.0,3.3,0.5,0.2,0.0
1903,0.0,0.0,0.0,0.7,4.6,11.4,11.8,7.7,2.5,0.9,0.2,0.0
1904,0.0,0.0,0.0,0.4,4.4,9.3,10.3,7.7,2.9,0.7,0.1,0.0
1905,0.0,0.0,0.0,0.3,4.9,11.1,9.9,9.5,2.4,0.5,0.1,0.0
1906,0.0,0.0,0.0,0.8,4.2,8.8,12.8,10.1,3.0,0.9,0.1,0.0
1907,0.0,0.0,0.0,0.7,6.2,10.5,11.6,7.4,2.4,0.9,0.2,0.0
1908,0.0,0.0,0.0,1.4,4.2,10.3,11.0,7.8,2.3,0.7,0.1,0.0
1909,0.0,0.0,0.0,0.4,4.5,9.0,10.7,7.0,2.2,0.8,0.1,0.0
1910,0.0,0.0,0.0,0.6,4.7,11.1,11.5,8.8,2.8,0.7,0.2,0.0
1911,0.0,0.0,0.0,0.6,5.0,11.6,12.9,8.9,2.9,0.3,0.1,0.0
1912,0.0,0.0,0.0,0.4,3.8,9.5,11.5,7.7,3.8,0.4,0.0,0.0
1913,0.0,0.0,0.0,0.4,3.9,9.0,11.7,6.0,2.8,0.6,0.0,0.0
1914,0.0,0.0,0.0,0.4,3.0,10.5,11.0,8.5,1.7,0.2,0.1,0.0
1915,0.0,0.0,0.0,0.6,4.5,9.8,13.0,7.3,2.5,0.6,0.1,0.0
1916,0.0,0.0,0.0,0.3,6.5,10.8,10.5,8.8,2.3,0.4,0.0,0.0
1917,0.0,0.0,0.0,0.5,5.4,10.5,12.1,10.0,2.9,0.5,0.1,0.0
1918,0.0,0.0,0.0,0.5,5.6,10.3,11.3,8.7,1.8,0.3,0.1,0.0
1919,0.0,0.0,0.0,0.2,4.7,8.5,10.8,7.3,3.5,0.3,0.1,0.0
1920,0.0,0.0,0.0,0.4,4.1,11.3,9.6,6.5,2.7,0.6,0.0,0.0
1921,0.0,0.0,0.0,0.6,4.9,9.8,13.8,9.3,3.2,0.6,0.1,0.0
1922,0.0,0.0,0.0,0.3,4.8,10.1,9.9,7.7,1.7,0.4,0.1,0.0
1923,0.0,0.0,0.0,0.6,5.2,9.9,11.1,6.5,2.1,0.1,0.0,0.0
1924,0.0,0.0,0.0,0.5,5.1,10.5,11.9,8.7,2.5,0.6,0.1,0.0
1925,0.0,0.0,0.0,0.4,4.7,11.6,11.2,6.4,2.4,0.5,0.1,0.0
1926,0.0,0.0,0.0,0.4,4.1,9.3,13.4,8.0,2.9,0.5,0.1,0.0
1927,0.0,0.0,0.0,0.3,4.8,9.1,9.6,6.9,1.4,0.3,0.0,0.0
1928,0.0,0.0,0.0,0.3,4.0,9.4,10.3,7.3,2.9,0.4,0.1,0.0
1929,0.0,0.0,0.0,0.5,3.4,8.1,11.4,6.9,1.9,0.3,0.0,0.0
1930,0.0,0.0,0.0,0.5,3.9,9.5,10.4,7.9,3.4,0.3,0.0,0.0
1931,0.0,0.0,0.0,0.6,2.5,9.0,11.5,6.4,2.2,0.5,0.0,0.0
1932,0.0,0.0,0.0,0.1,2.8,8.6,11.6,5.8,2.0,0.3,0.0,0.0
1933,0.0,0.0,0.0,0.2,3.0,9.9,10.2,7.1,1.8,0.2,0.0,0.0
1934,0.0,0.0,0.0,0.1,2.1,6.0,10.6,5.4,1.6,0.3,0.0,0.0
1935,0.0,0.0,0.0,0.5,4.8,10.1,10.5,9.6,2.9,0.2,0.1,0.0
1936,0.0,0.0,0.0,0.3,5.3,7.3,9.1,5.3,2.1,0.6,0.1,0.0
1937,0.0,0.0,0.0,0.3,3.3,9.1,11.6,5.3,2.5,0.3,0.0,0.0
1938,0.0,0.0,0.0,0.2,3.2,7.6,9.2,7.4,2.1,0.3,0.1,0.0
1939,0.0,0.0,0.0,0.5,3.3,8.0,10.3,7.4,2.6,0.2,0.0,0.0
1940,0.0,0.0,0.0,0.7,4.2,8.9,11.4,5.5,1.6,0.4,0.0,0.0
1941,0.0,0.0,0.0,0.3,3.4,9.0,9.5,5.1,3.3,0.3,0.1,0.0
1942,0.0,0.0,0.0,0.2,3.6,9.3,10.2,6.5,2.3,0.2,0.0,0.0
1943,0.0,0.0,0.0,0.3,4.1,10.6,11.2,8.4,2.4,0.5,0.0,0.0
1944,0.0,0.0,0.0,0.6,6.4,9.5,11.0,5.2,2.3,0.1,0.0,0.0
1945,0.0,0.0,0.0,0.2,4.7,11.0,10.6,6.8,0.9,0.5,0.0,0.0
1946,0.0,0.0,0.0,0.2,2.4,10.5,10.8,7.8,1.7,0.5,0.0,0.0
1947,0.0,0.0,0.0,0.3,3.6,9.0,12.9,6.7,1.9,0.2,0.0,0.0
1948,0.0,0.0,0.0,0.5,2.7,10.5,9.5,6.6,4.0,0.3,0.1,0.0
1949,0.0,0.0,0.0,0.4,4.1,7.6,10.8,6.3,1.3,0.4,0.1,0.0
1950,0.0,0.0,0.0,0.2,3.5,7.2,9.7,5.6,1.6,0.7,0.1,0.0
1951,0.0,0.0,0.0,0.4,3.2,11.0,13.7,8.2,3.8,0.4,0.1,0.0
1952,0.0,0.0,0.0,0.3,4.3,7.6,8.8,7.0,3.0,0.3,0.0,0.0
1953,0.0,0.0,0.0,0.6,3.5,11.8,12.6,7.4,2.8,0.2,0.0,0.0
1954,0.0,0.0,0.0,0.6,3.3,10.1,14.0,7.6,2.0,0.5,0.1,0.0
1955,0.0,0.0,0.0,0.8,2.4,8.1,10.9,9.5,4.4,1.2,0.2,0.0
1956,0.0,0.0,0.0,0.6,4.5,9.6,8.7,7.4,3.7,0.6,0.0,0.0
1957,0.0,0.0,0.0,0.6,4.4,10.2,8.0,7.2,1.9,0.8,0.0,0.0
1958,0.0,0.0,0.0,0.2,3.3,11.1,9.7,7.5,2.3,0.6,0.0,0.0
1959,0.0,0.0,0.0,0.3,4.8,8.3,8.0,7.4,2.6,0.4,0.0,0.0
1960,0.0,0.0,0.0,0.6,4.9,9.5,11.8,4.0,1.3,0.2,0.0,0.0
1961,0.0,0.0,0.0,0.2,3.3,5.1,6.9,6.8,1.2,1.1,0.0,0.0
1962,0.0,0.0,0.0,0.5,4.9,9.4,10.1,5.7,2.0,0.3,0.0,0.0
1963,0.0,0.0,0.0,0.5,4.3,8.3,10.1,7.6,0.6,0.1,0.0,0.0
1964,0.0,0.0,0.0,0.6,3.8,11.2,12.9,7.4,2.1,0.3,0.1,0.0
1965,0.0,0.0,0.0,0.2,4.5,13.0,9.1,4.6,1.0,0.6,0.0,0.0
1966,0.0,0.0,0.0,0.5,4.2,6.7,10.8,5.9,2.1,0.2,0.0,0.0
1967,0.0,0.0,0.0,0.2,2.9,8.3,13.0,6.8,1.9,0.4,0.0,0.0
