YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1902,28.2,29.0,27.1,23.8,22.0,18.0,19.0,20.2,22.5,24.9,25.9,29.1
1903,29.4,28.7,26.9,23.6,21.2,17.7,18.4,20.4,23.0,24.3,26.1,28.7
1904,28.8,28.4,26.6,24.1,21.2,18.7,19.1,20.3,22.5,24.7,26.9,27.5
1905,29.3,28.3,26.5,24.7,20.9,17.9,19.3,19.5,23.1,25.4,26.7,28.8
1906,29.7,28.4,26.9,23.4,21.3,19.0,17.9,19.2,22.6,24.0,26.6,28.0
1907,28.7,28.4,27.3,23.5,20.2,18.1,18.4,20.4,23.0,24.1,25.8,27.7
1908,28.5,28.6,26.8,22.4,21.4,18.3,18.7,20.3,23.3,24.7,26.4,28.9
1909,29.2,28.1,26.2,24.3,21.1,19.4,18.9,20.7,23.2,24.5,27.0,27.8
1910,29.0,28.4,27.1,24.2,21.5,18.2,18.7,20.0,22.9,24.4,25.6,28.5
1911,29.2,29.4,26.8,23.8,20.7,17.8,18.1,19.8,22.8,25.8,27.1,29.7
1912,29.7,29.0,27.1,24.5,21.7,18.7,18.6,20.4,22.5,25.6,27.8,29.2
1913,30.0,29.3,27.0,24.1,21.8,19.2,18.8,21.3,22.8,25.0,27.4,29.1
1914,30.1,29.0,27.6,24.6,22.1,18.3,19.1,20.1,24.2,26.0,26.7,28.5
1915,30.4,29.6,27.5,23.8,21.2,18.7,17.7,20.8,23.0,25.3,27.3,28.9
1916,29.3,29.6,27.1,24.8,20.3,18.2,19.4,20.2,23.4,25.8,27.5,29.1
1917,29.5,29.0,27.2,24.2,20.8,18.3,18.3,19.2,22.4,25.2,26.3,28.5
1918,28.4,29.0,26.8,24.4,20.8,18.5,18.7,19.7,23.7,26.0,27.0,28.9
1919,29.6,29.3,27.7,25.4,21.0,19.2,18.8,20.6,22.4,25.8,26.5,29.1
1920,30.2,28.7,26.7,24.6,21.6,18.3,19.4,21.1,23.0,24.9,28.2,29.0
1921,29.0,29.3,27.8,24.1,20.8,18.8,17.5,19.7,22.8,25.0,26.7,28.3
1922,29.6,28.8,27.9,25.1,21.0,18.4,19.4,20.5,23.7,25.4,27.1,29.2
1923,29.2,28.8,27.7,24.1,21.1,18.7,19.0,21.0,23.7,26.9,28.2,29.1
1924,30.0,28.4,26.6,24.3,21.0,18.5,18.3,19.9,22.9,24.9,26.4,28.7
1925,29.0,29.6,26.8,24.6,21.0,18.3,18.7,21.3,22.8,25.1,27.3,29.5
1926,30.7,29.8,27.4,24.7,21.7,18.6,17.7,20.5,22.6,25.4,26.8,28.9
1927,30.4,29.6,27.3,25.1,21.4,19.0,19.4,21.0,24.3,25.9,28.2,29.1
1928,29.6,29.1,27.6,24.6,21.5,19.0,19.1,20.6,22.9,25.4,27.5,29.0
1929,29.6,28.9,26.7,24.2,22.1,19.2,18.7,20.6,23.4,26.0,27.5,28.9
1930,29.2,28.6,27.2,24.0,21.7,18.6,19.1,20.2,22.3,25.8,27.9,29.7
1931,30.1,30.1,28.2,23.9,22.8,18.9,18.3,21.2,23.5,25.4,28.0,29.3
1932,29.3,29.5,28.0,26.5,22.3,19.1,18.8,21.4,23.7,26.1,28.3,29.2
1933,30.0,29.8,28.2,25.4,22.4,18.7,19.4,20.7,23.7,26.6,27.4,29.2
1934,29.5,28.8,27.5,25.9,23.1,20.2,18.9,21.6,24.0,25.7,27.6,29.0
1935,29.9,28.8,26.6,24.3,21.1,18.2,19.2,19.4,23.0,26.6,26.7,28.6
1936,28.9,28.4,27.4,25.1,20.7,19.9,19.8,21.7,23.4,24.9,26.9,29.0
1937,29.9,29.7,28.0,24.9,22.4,19.1,18.6,21.6,23.1,26.0,28.5,28.9
1938,29.7,28.9,28.4,25.1,22.2,19.4,19.6,20.4,23.4,25.8,26.6,29.0
1939,29.8,28.9,27.2,24.0,22.1,19.4,18.8,20.5,22.8,26.0,27.3,29.3
1940,30.4,30.1,27.5,24.3,21.9,19.8,20.0,22.8,22.5,26.2,27.2,30.2
1941,29.6,29.0,29.1,25.8,23.1,19.6,20.1,22.1,23.1,26.9,27.9,30.2
1942,30.4,30.6,27.8,24.7,21.6,19.6,19.9,21.4,23.4,24.4,27.5,28.0
1943,29.2,29.0,27.8,23.9,20.5,18.9,18.2,18.7,22.5,25.9,26.6,28.4
1944,30.8,28.9,27.6,25.8,21.0,18.0,20.0,22.6,23.1,27.2,28.5,29.7
1945,30.2,31.0,26.9,26.1,22.0,18.9,19.3,22.0,26.4,25.2,28.9,29.3
1946,29.1,29.8,27.8,25.6,22.3,19.3,19.9,21.7,25.2,25.6,28.9,30.4
1947,30.6,31.4,27.8,25.1,22.2,18.9,17.7,23.2,22.7,26.6,28.9,28.7
1948,29.5,29.0,26.2,24.3,22.7,20.2,19.9,22.5,23.6,26.1,27.4,30.0
1949,31.5,29.6,27.5,25.8,22.0,20.8,20.0,21.2,24.7,26.6,27.0,29.3
1950,30.2,29.9,28.2,23.9,21.2,20.4,18.9,20.3,24.0,26.3,27.4,28.6
1951,28.5,29.9,27.7,25.3,21.1,18.8,18.5,20.9,23.4,25.5,28.5,30.4
1952,31.1,28.8,28.7,25.8,21.7,20.1,18.6,21.3,23.2,26.9,27.4,28.8
1953,31.1,29.1,27.7,23.6,22.2,19.0,18.6,20.3,24.0,26.4,27.1,28.5
1954,29.2,29.3,26.2,24.5,21.4,18.8,18.2,21.1,24.0,26.6,27.4,29.0
1955,28.8,27.3,26.8,24.0,21.9,18.1,19.0,19.7,23.7,24.2,26.5,27.2
1956,30.1,28.3,26.9,25.1,20.8,19.3,19.8,21.5,23.1,26.2,27.1,27.5
1957,30.3,29.8,28.1,25.4,22.8,18.1,19.4,21.0,23.2,24.4,28.9,29.7
1958,29.1,29.6,28.4,25.6,22.4,19.0,20.7,21.7,23.3,26.2,28.5,29.0
1959,29.0,29.5,28.5,25.3,20.1,20.3,19.6,21.2,24.7,25.8,27.9,28.4
1960,29.8,29.3,27.7,23.6,21.0,19.1,19.1,22.1,24.4,27.1,27.7,28.8
1961,29.6,30.0,27.3,24.5,20.7,18.8,19.6,20.1,24.5,25.8,27.4,28.5
1962,30.1,29.0,28.2,24.8,22.1,19.6,20.1,21.6,25.2,26.8,26.7,29.9
1963,28.5,29.6,27.0,23.5,21.0,18.5,17.4,21.2,26.1,26.5,27.3,29.8
1964,30.3,30.2,29.5,24.8,22.7,17.5,18.5,20.1,23.3,24.7,27.0,28.6
1965,29.9,30.4,28.5,23.8,22.1,17.5,19.0,22.1,24.4,24.3,26.8,29.6
1966,30.8,27.5,28.8,24.4,22.1,20.0,19.2,21.5,23.2,26.4,28.3,29.9
1967,29.1,28.2,26.8,22.4,21.1,17.8,17.7,20.9,24.4,26.0,27.9,30.1
1968,30.9,29.6,26.5,22.8,20.2,16.3,19.1,20.4,23.9,25.7,27.3,29.6
1969,31.7,30.6,27.2,23.8,21.0,18.9,20.0,21.8,23.2,24.6,28.0,29.6
1970,31.1,29.7,29.4,26.0,21.9,18.5,18.7,20.7,24.0,25.7,27.8,28.4
1971,29.0,28.3,28.7,25.0,21.0,19.0,18.7,20.1,23.7,25.1,26.7,28.7
1972,29.0,28.4,26.6,25.0,21.4,18.9,19.9,21.1,24.7,27.2,28.7,30.9
1973,31.4,29.1,28.8,24.2,21.4,20.6,19.5,20.3,23.1,26.0,27.0,27.6
1974,28.6,27.9,26.5,23.7,20.9,19.2,19.3,19.5,23.0,26.0,26.8,28.9
1975,29.4,28.2,25.9,24.3,21.8,20.0,19.0,20.9,24.5,25.3,27.2,27.2
1976,27.9,27.7,26.1,24.2,20.9,18.4,19.0,20.7,24.3,24.2,26.4,29.1
1977,30.3,28.9,26.3,25.5,20.9,20.0,19.8,21.0,23.5,26.3,28.5,29.7
1978,29.0,29.0,28.3,23.5,22.2,19.5,20.5,21.9,22.8,24.8,28.5,29.2
1979,29.6,30.1,28.5,27.0,22.4,19.3,18.1,20.6,22.9,25.8,28.0,29.9
1980,29.8,29.4,28.3,25.7,22.8,19.4,20.3,21.6,22.4,27.0,26.5,29.3
1981,29.6,28.4,26.7,25.9,21.9,18.8,19.5,18.6,22.2,24.3,28.6,28.9
1982,30.2,30.3,27.9,22.7,22.7,19.4,19.0,21.9,25.2,25.7,27.4,30.1
1983,32.1,30.6,29.3,27.3,21.9,19.6,19.3,20.9,24.7,25.7,27.5,29.2
1984,30.9,31.2,28.6,25.4,21.8,19.5,19.4,21.8,24.8,25.8,27.8,29.4
1985,30.6,29.1,27.7,25.6,22.5,20.6,19.6,23.2,24.1,27.0,28.8,28.2
1986,30.4,29.6,28.3,25.9,24.1,19.6,19.8,22.0,24.1,25.4,26.9,30.3
1987,30.7,30.9,28.8,26.6,24.8,19.2,19.3,20.9,21.9,25.6,28.1,29.7
1988,31.3,29.3,27.7,23.6,22.6,18.5,19.8,22.6,23.4,24.5,27.2,27.8
1989,29.5,27.3,28.0,24.2,22.2,18.9,19.1,22.7,23.9,25.3,27.0,29.7
1990,30.5,28.9,27.9,24.6,22.0,19.1,19.4,21.2,24.6,26.4,28.8,29.3
1991,29.7,29.2,27.3,26.5,23.5,18.6,19.5,21.0,23.7,25.4,28.1,29.1
1992,31.9,31.6,29.5,26.8,23.3,19.8,20.1,20.1,25.5,26.4,27.4,30.2
1993,31.5,28.9,28.4,24.7,22.8,19.7,20.7,21.5,26.1,26.0,27.4,29.3
1994,29.0,28.5,28.2,25.9,22.9,18.3,18.8,21.0,24.9,25.7,28.3,30.3
1995,31.1,31.4,27.8,24.6,21.6,19.2,18.7,22.0,25.1,25.5,27.4,27.4
1996,29.7,28.6,27.4,24.5,22.0,19.9,16.9,19.4,23.8,26.0,25.7,28.6
1997,29.3,29.9,26.3,23.1,20.7,18.6,19.1,22.4,24.9,26.6,27.6,30.4
1998,29.6,30.3,28.6,27.1,22.6,21.2,19.9,21.5,24.3,26.0,27.4,28.8
1999,30.8,31.0,29.7,26.6,21.9,20.8,20.5,22.1,23.3,26.3,29.4,28.7
2000,27.9,28.8,27.0,23.9,21.0,20.3,19.5,22.9,23.0,26.6,27.1,29.4
2001,30.7,29.7,28.9,23.8,22.4,20.4,18.7,21.4,22.7,26.8,26.7,28.6
2002,29.8,30.1,29.3,27.1,22.2,18.4,18.9,21.2,24.2,27.2,27.9,29.5
2003,31.4,30.9,29.3,27.1,22.6,19.4,20.3,20.3,23.9,27.1,28.7,30.3
2004,30.6,30.1,27.9,25.4,24.0,20.2,19.1,22.8,23.7,26.9,30.6,30.5
2005,30.6,30.9,28.3,24.7,23.0,20.5,21.9,22.6,26.3,27.5,28.6,29.6
2006,30.1,29.2,27.0,24.9,20.5,20.4,21.1,20.4,25.0,27.3,28.5,30.2
2007,31.4,31.6,29.4,26.3,23.4,20.1,20.0,22.2,26.2,25.6,27.5,28.8
2008,29.8,30.6,28.5,25.6,23.3,20.2,20.2,22.7,23.6,27.5,28.5,30.5
2009,30.6,29.4,28.7,26.8,22.7,19.8,19.5,22.5,25.0,26.8,27.7,30.2
2010,30.1,30.7,29.8,25.8,23.4,20.1,21.1,22.7,26.0,27.0,28.8,29.4
2011,29.4,29.8,29.6,24.8,22.2,19.3,19.0,21.9,25.6,27.1,28.2,29.1
2012,32.0,30.5,29.7,25.6,23.7,19.8,19.6,21.7,23.7,26.4,29.1,29.6
2013,31.4,31.4,29.8,25.6,23.7,20.0,20.8,21.3,24.2,26.7,29.0,29.1
2014,31.3,30.2,28.0,25.8,23.9,20.2,20.1,22.1,26.1,27.9,27.3,29.9
2015,31.6,30.5,29.6,25.4,25.2,19.7,19.7,24.0,25.2,28.9,28.6,32.0
2016,31.7,31.6,29.5,26.4,23.1,21.3,19.9,23.8,24.9,28.0,29.8,31.8
2017,29.8,29.8,29.9,26.8,24.1,21.4,21.5,22.3,26.6,26.1,28.5,29.9
2018,31.5,30.2,28.8,26.4,23.7,21.3,20.9,21.3,24.3,28.1,29.2,31.4
2019,31.7,30.8,30.3,26.7,24.7,22.0,22.1,23.5,26.4,28.1,30.1,29.4
2020,31.0,30.1,29.1,25.5,24.0,20.7,20.7,21.0,24.8,27.9,28.5,29.6
2021,29.6,29.8,29.0,27.0,23.6,21.8,19.6,21.7,25.6,25.8,27.5,28.1
2022,30.2,30.4,27.9,24.4,23.3,20.9,21.1,22.2,26.0,29.3,28.3,29.1
