YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1902,21.3,22.5,20.5,17.1,14.6,10.5,11.2,12.3,14.8,17.7,18.9,22.1
1903,22.5,22.2,20.3,16.9,13.8,10.2,10.5,12.5,15.3,17.1,19.1,21.7
1904,22.0,21.8,20.0,17.4,13.8,11.2,11.2,12.4,14.8,17.5,19.9,20.5
1905,22.5,21.8,19.9,18.0,13.5,10.4,11.4,11.6,15.5,18.2,19.7,21.8
1906,22.9,21.9,20.3,16.7,14.0,11.5,10.1,11.3,14.9,16.8,19.6,21.0
1907,21.8,21.9,20.7,16.7,12.8,10.6,10.6,12.5,15.3,16.9,18.8,20.7
1908,21.6,22.1,20.2,15.7,14.0,10.7,10.9,12.4,15.6,17.5,19.4,21.9
1909,22.4,21.5,19.6,17.5,13.7,11.6,11.0,12.8,15.5,17.2,19.9,20.8
1910,22.2,21.7,20.4,17.2,13.8,10.5,10.7,12.0,15.1,17.1,18.4,21.5
1911,22.3,22.9,20.0,17.0,13.4,10.1,10.1,11.9,15.0,18.6,20.0,22.5
1912,22.7,22.3,20.2,17.8,14.3,11.1,10.7,12.5,14.5,18.2,20.5,22.1
1913,23.1,22.7,20.3,17.4,14.3,11.5,10.7,13.3,15.1,17.6,20.3,21.8
1914,23.2,22.4,20.9,17.7,14.8,10.7,11.1,12.1,16.4,18.8,19.6,21.5
1915,23.6,22.9,20.9,17.0,13.8,11.1,9.9,12.7,15.3,17.7,20.1,21.8
1916,22.3,22.9,20.4,17.9,12.7,10.6,11.3,12.1,15.6,18.4,20.3,22.1
1917,22.5,22.4,20.5,17.3,13.3,10.7,10.4,11.3,14.8,17.8,19.3,21.4
1918,21.6,22.5,20.2,17.4,13.2,10.8,10.8,11.8,16.0,18.6,19.9,21.8
1919,22.6,22.7,20.9,18.6,13.6,11.6,11.0,12.6,14.6,18.4,19.5,22.0
1920,23.4,22.1,20.1,17.7,14.1,10.5,11.6,13.1,15.3,17.6,21.1,21.8
1921,22.1,22.7,20.9,17.2,13.5,11.1,9.6,11.7,14.9,17.7,19.7,21.3
