YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1902,14.5,16.0,14.0,10.4,7.3,3.0,3.4,4.5,7.2,10.5,11.9,15.2
1903,15.7,15.7,13.8,10.2,6.4,2.7,2.7,4.6,7.7,9.9,12.1,14.8
1904,15.2,15.3,13.5,10.7,6.5,3.7,3.4,4.6,7.2,10.3,12.9,13.6
1905,15.7,15.3,13.3,11.3,6.1,2.9,3.6,3.8,7.8,11.0,12.7,14.9
1906,16.1,15.4,13.7,9.9,6.6,4.0,2.3,3.5,7.3,9.6,12.6,14.0
1907,15.0,15.4,14.2,10.0,5.4,3.1,2.8,4.7,7.7,9.7,11.8,13.7
1908,14.8,15.6,13.7,8.9,6.6,3.3,3.1,4.6,7.9,10.3,12.4,15.0
1909,15.6,15.0,13.1,10.8,6.4,3.8,3.2,5.0,7.9,10.0,13.0,13.9
1910,15.5,15.1,13.8,10.3,6.2,2.8,2.8,4.0,7.3,9.9,11.2,14.5
1911,15.4,16.4,13.3,10.2,6.1,2.6,2.2,4.0,7.2,11.4,12.9,15.4
1912,15.8,15.7,13.5,11.0,6.9,3.6,2.8,4.6,6.6,10.8,13.2,15.0
1913,16.2,16.2,13.6,10.7,6.8,3.9,2.8,5.4,7.4,10.3,13.2,14.7
1914,16.3,15.8,14.3,10.9,7.5,3.1,3.1,4.2,8.5,11.6,12.5,14.6
1915,16.9,16.3,14.4,10.3,6.4,3.5,2.2,4.7,7.6,10.3,12.8,14.8
1916,15.3,16.2,13.7,11.0,5.2,3.0,3.3,4.0,7.8,11.1,13.3,15.1
1917,15.6,15.9,13.9,10.4,5.9,3.1,2.6,3.5,7.3,10.5,12.4,14.4
1918,14.8,16.0,13.7,10.5,5.7,3.2,2.9,4.0,8.4,11.2,12.8,14.7
1919,15.7,16.1,14.2,11.9,6.2,4.1,3.1,4.8,6.9,11.0,12.5,14.9
1920,16.6,15.6,13.5,10.8,6.7,2.7,3.7,5.2,7.6,10.4,14.0,14.6
1921,15.1,16.2,14.1,10.3,6.2,3.5,1.7,3.8,7.0,10.5,12.7,14.3
1922,15.8,15.8,14.6,11.3,6.3,3.4,3.6,4.7,8.5,10.9,12.9,15.2
1923,15.6,15.7,14.5,10.2,5.9,3.4,3.0,5.2,8.0,12.1,14.1,15.1
1924,16.1,15.4,13.5,10.6,6.0,3.1,2.6,4.1,7.6,10.3,12.4,14.8
1925,15.3,16.6,14.1,11.0,6.3,2.6,3.0,5.2,7.7,10.4,13.1,15.2
1926,17.1,16.7,14.1,10.8,6.7,3.8,2.0,4.4,7.4,10.5,12.3,14.8
1927,16.5,16.1,13.9,11.3,6.1,3.8,3.7,5.0,8.7,11.2,13.9,14.9
1928,15.8,15.5,14.3,11.1,6.7,3.7,3.4,4.7,7.4,11.1,13.1,15.2
1929,15.9,15.8,13.6,10.4,7.1,4.3,2.9,4.9,8.4,11.5,13.5,15.0
1930,15.5,15.4,14.1,10.6,6.8,3.6,3.3,4.5,6.9,11.2,13.6,15.6
1931,16.3,16.9,15.0,10.2,7.9,3.9,2.9,5.3,7.9,10.7,13.9,15.1
1932,15.4,16.3,14.7,13.0,7.6,4.0,2.7,5.5,8.3,11.4,14.1,15.0
1933,16.1,16.3,14.7,11.6,7.4,3.4,3.4,4.8,8.2,11.6,13.2,14.9
1934,15.6,15.4,14.2,12.2,8.3,5.6,3.3,5.9,8.3,10.9,13.3,14.9
1935,16.1,15.4,13.1,10.5,6.3,3.3,3.3,3.6,7.5,11.7,12.7,14.3
1936,14.9,15.1,14.3,11.4,5.9,4.7,3.9,5.8,7.8,10.3,12.6,14.6
1937,15.9,16.4,14.5,11.0,7.2,3.8,2.8,5.8,7.6,11.3,14.0,14.8
