YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1902,5.3,4.9,3.9,2.9,2.3,1.8,2.2,2.8,3.8,4.7,5.0,5.7
1903,5.5,4.9,4.0,3.0,2.3,1.9,2.2,2.9,3.9,4.5,5.1,5.6
1904,5.4,4.8,4.0,3.0,2.3,2.0,2.2,2.9,3.8,4.6,5.2,5.4
1905,5.5,4.8,4.0,3.1,2.3,1.9,2.2,2.9,3.9,4.7,5.2,5.6
1906,5.5,4.8,4.0,3.0,2.3,2.0,2.1,2.8,3.8,4.5,5.2,5.5
1907,5.4,4.8,4.0,3.0,2.3,1.9,2.2,2.9,3.9,4.5,5.1,5.5
1908,5.4,4.8,4.0,2.9,2.3,1.9,2.2,2.9,3.9,4.6,5.1,5.6
1909,5.5,4.8,3.9,3.0,2.3,2.0,2.2,3.0,3.9,4.6,5.2,5.5
1910,5.4,4.9,4.0,3.1,2.4,2.0,2.2,2.9,3.8,4.6,5.0,5.6
1911,5.5,4.9,4.0,3.0,2.3,1.9,2.2,2.9,3.9,4.7,5.3,5.8
1912,5.5,4.9,4.1,3.1,2.4,2.0,2.2,2.9,3.9,4.8,5.4,5.7
1913,5.6,4.9,4.1,3.0,2.4,2.0,2.2,3.0,3.8,4.7,5.3,5.7
1914,5.6,4.9,4.1,3.1,2.4,2.0,2.2,2.9,4.0,4.8,5.2,5.6
1915,5.6,5.0,4.1,3.0,2.3,2.0,2.1,3.0,3.9,4.8,5.3,5.7
1916,5.4,5.0,4.1,3.1,2.3,2.0,2.2,2.9,3.9,4.8,5.3,5.7
1917,5.5,4.9,4.1,3.1,2.3,2.0,2.2,2.9,3.8,4.7,5.1,5.6
1918,5.3,4.9,4.0,3.1,2.3,2.0,2.2,2.9,3.9,4.8,5.2,5.7
1919,5.6,4.9,4.1,3.1,2.3,2.0,2.2,3.0,3.8,4.8,5.2,5.7
1920,5.6,4.9,4.0,3.1,2.4,2.0,2.2,3.0,3.9,4.6,5.4,5.7
1921,5.4,4.9,4.1,3.1,2.3,2.0,2.1,2.9,3.9,4.7,5.2,5.6
1922,5.5,4.9,4.1,3.1,2.3,2.0,2.2,3.0,3.9,4.7,5.3,5.7
1923,5.5,4.9,4.1,3.1,2.4,2.0,2.2,3.0,4.0,4.9,5.4,5.7
1924,5.6,4.9,4.0,3.1,2.3,2.0,2.2,2.9,3.9,4.7,5.1,5.6
1925,5.5,5.0,3.9,3.1,2.3,2.0,2.2,3.0,3.8,4.7,5.3,5.8
1926,5.7,5.0,4.1,3.1,2.4,1.9,2.1,3.0,3.8,4.7,5.3,5.7
1927,5.7,5.0,4.1,3.1,2.4,2.0,2.2,3.0,4.0,4.8,5.4,5.7
1928,5.5,5.0,4.1,3.1,2.4,2.0,2.2,3.0,3.9,4.7,5.4,5.7
1929,5.5,4.9,4.0,3.1,2.4,2.0,2.2,2.9,3.9,4.8,5.3,5.7
1930,5.5,4.9,4.0,3.0,2.4,2.0,2.2,2.9,3.8,4.8,5.4,5.7
1931,5.6,5.0,4.1,3.0,2.4,2.0,2.1,3.0,3.9,4.7,5.4,5.7
1932,5.5,5.0,4.1,3.3,2.4,2.0,2.2,3.0,3.9,4.8,5.4,5.7
1933,5.6,5.1,4.2,3.1,2.4,2.0,2.2,3.0,3.9,4.9,5.3,5.7
1934,5.5,4.9,4.1,3.2,2.4,2.0,2.2,3.0,4.0,4.8,5.3,5.7
1935,5.6,4.9,4.0,3.1,2.3,1.9,2.2,2.8,3.9,4.9,5.2,5.6
1936,5.4,4.9,4.0,3.1,2.3,2.0,2.3,3.0,3.9,4.7,5.3,5.7
1937,5.6,5.0,4.1,3.1,2.4,2.0,2.2,3.0,3.9,4.8,5.5,5.7
1938,5.6,4.9,4.2,3.1,2.4,2.0,2.2,2.9,3.9,4.7,5.2,5.7
1939,5.6,4.9,4.0,3.0,2.4,2.0,2.2,2.9,3.8,4.8,5.3,5.7
1940,5.8,5.1,4.0,3.1,2.4,2.1,2.3,3.2,3.7,4.9,5.2,5.9
1941,5.5,4.9,4.5,3.2,2.5,2.0,2.3,3.1,3.9,5.0,5.4,6.0
1942,5.7,5.1,4.1,3.0,2.3,2.1,2.3,3.0,3.9,4.4,5.2,5.4
1943,5.5,5.1,4.1,2.9,2.2,2.0,2.1,2.7,3.7,4.8,5.0,5.5
1944,5.8,4.9,4.1,3.3,2.4,1.9,2.3,3.2,3.8,5.0,5.6,6.0
1945,5.7,5.2,3.9,3.3,2.4,2.0,2.2,3.2,4.4,4.6,5.6,5.8
1946,5.4,5.1,4.1,3.2,2.4,2.0,2.3,3.1,4.2,4.7,5.7,6.0
1947,5.8,5.4,4.1,3.1,2.4,2.0,2.1,3.3,3.8,4.9,5.6,5.6
1948,5.5,4.9,3.7,3.0,2.4,2.2,2.3,3.2,4.1,4.8,5.4,5.9
1949,5.9,5.2,4.0,3.3,2.4,2.1,2.3,3.0,4.1,5.0,5.2,5.7
1950,5.7,5.0,4.0,2.9,2.3,2.1,2.2,2.8,4.0,5.1,5.4,5.6
1951,5.4,5.2,4.2,3.2,2.3,2.0,2.2,3.0,4.0,4.6,5.7,6.0
1952,5.9,4.8,4.4,3.3,2.4,2.1,2.1,3.0,3.9,5.0,5.2,5.6
1953,5.8,4.8,4.2,2.9,2.4,2.0,2.2,2.9,4.1,4.8,5.2,5.5
1954,5.5,5.1,3.7,3.1,2.3,2.0,2.2,3.1,4.0,5.0,5.4,5.6
1955,5.3,4.5,4.0,3.0,2.3,1.9,2.2,2.9,4.1,4.5,5.2,5.3
1956,5.7,4.7,3.8,3.2,2.3,2.0,2.2,3.1,3.9,4.9,5.2,5.4
1957,5.7,5.0,4.1,3.3,2.5,1.9,2.2,3.0,3.8,4.5,5.7,5.8
1958,5.3,5.2,4.3,3.2,2.4,2.0,2.4,3.1,3.9,4.9,5.5,5.6
1959,5.5,5.0,4.3,3.2,2.2,2.1,2.2,3.1,4.2,4.8,5.4,5.5
1960,5.7,4.9,4.1,2.9,2.3,2.0,2.2,3.0,4.0,5.0,5.3,5.6
1961,5.6,5.2,3.9,3.0,2.2,1.8,2.1,2.9,4.0,4.9,5.2,5.6
1962,5.6,4.8,4.2,3.1,2.5,2.1,2.3,3.1,4.2,4.9,5.0,5.8
1963,5.1,5.1,4.0,2.9,2.3,1.9,2.0,3.1,4.3,4.8,5.0,5.8
1964,5.8,5.3,4.3,3.1,2.5,1.9,2.2,2.9,3.9,4.4,5.2,5.6
1965,5.6,5.3,4.3,2.9,2.4,1.9,2.2,3.1,4.0,4.6,5.1,5.8
1966,5.5,4.5,4.4,3.0,2.4,2.0,2.2,3.0,3.8,4.8,5.4,5.7
1967,5.3,4.7,3.9,2.7,2.2,1.8,2.1,3.0,4.1,4.8,5.3,5.9
1968,5.9,5.3,3.8,2.8,2.1,1.8,2.2,2.8,4.0,4.7,5.3,5.7
1969,6.0,5.1,3.9,2.9,2.2,1.9,2.3,3.1,3.9,4.4,5.4,5.8
1970,5.8,5.1,4.5,3.3,2.4,1.9,2.1,2.9,4.0,4.7,5.3,5.5
1971,5.3,4.7,4.3,3.1,2.3,2.0,2.1,2.9,3.9,4.6,5.1,5.6
1972,5.2,4.8,3.7,3.0,2.4,2.0,2.3,3.0,4.1,5.0,5.5,6.0
1973,5.9,4.9,4.1,3.0,2.3,2.1,2.2,2.9,3.8,4.7,5.2,5.3
1974,5.0,4.4,3.7,2.8,2.3,2.0,2.2,2.8,3.9,4.8,5.0,5.6
1975,5.5,4.6,3.7,3.0,2.4,2.1,2.2,3.0,4.0,4.7,5.1,5.2
1976,4.9,4.5,3.6,3.0,2.2,1.9,2.2,3.0,4.0,4.3,5.1,5.6
1977,5.5,4.6,3.8,3.2,2.3,2.1,2.3,3.0,3.8,4.8,5.5,5.7
1978,5.2,4.8,4.1,2.9,2.5,2.1,2.3,3.0,3.8,4.6,5.5,5.6
1979,5.5,5.0,4.3,3.4,2.4,2.0,2.1,2.8,3.8,4.7,5.4,5.8
1980,5.6,4.9,4.2,3.3,2.5,2.1,2.4,3.0,3.7,5.1,5.0,5.7
1981,5.3,4.6,3.9,3.3,2.3,2.0,2.2,2.6,3.7,4.5,5.5,5.6
1982,5.6,5.1,4.1,2.7,2.5,2.0,2.1,3.1,4.1,4.7,5.3,5.8
1983,5.9,5.3,4.3,3.4,2.3,2.0,2.2,3.0,4.1,4.6,5.1,5.5
1984,5.8,5.4,4.0,3.2,2.4,2.0,2.2,3.0,4.0,4.6,5.4,5.8
1985,5.5,4.7,4.1,3.3,2.4,2.2,2.3,3.2,3.9,4.8,5.5,5.3
1986,5.6,5.1,4.1,3.2,2.6,2.0,2.3,3.0,4.0,4.5,5.1,5.9
1987,5.8,5.1,4.2,3.3,2.7,2.0,2.2,3.0,3.5,4.7,5.2,5.7
1988,5.8,4.6,3.9,2.9,2.5,1.9,2.3,3.2,3.9,4.5,5.3,5.3
1989,5.4,4.3,4.3,3.0,2.4,1.9,2.2,3.2,4.0,4.7,5.2,6.0
1990,5.7,4.9,4.1,3.0,2.4,2.0,2.2,3.0,4.1,4.8,5.6,5.6
1991,5.2,4.9,3.9,3.5,2.6,1.9,2.3,3.0,3.8,4.5,5.4,5.7
1992,6.0,5.5,4.5,3.4,2.6,2.1,2.3,2.8,4.1,4.8,5.3,5.9
1993,5.8,4.7,4.2,3.1,2.5,2.0,2.3,3.0,4.3,4.6,5.2,5.6
1994,5.1,4.7,4.2,3.3,2.5,1.9,2.2,3.0,4.2,4.9,5.3,6.0
1995,5.7,5.4,3.9,3.1,2.3,2.0,2.2,3.1,4.1,4.7,5.1,5.4
1996,5.2,4.6,4.1,3.0,2.3,2.0,2.0,2.8,4.0,4.7,4.7,5.6
1997,5.1,5.0,3.6,3.0,2.3,1.9,2.2,3.1,4.0,4.8,5.3,6.0
1998,5.3,4.9,4.2,3.5,2.5,2.2,2.2,3.0,4.0,4.7,5.2,5.6
1999,5.7,5.3,4.4,3.3,2.3,2.1,2.3,3.1,3.9,4.8,5.6,5.3
2000,5.1,4.6,3.7,3.0,2.3,2.1,2.3,3.2,3.8,4.9,5.3,5.8
2001,5.9,4.9,4.3,2.8,2.4,2.1,2.1,3.0,3.8,4.8,4.8,5.6
2002,5.6,5.2,4.4,3.4,2.4,1.9,2.2,2.9,4.0,5.1,5.7,5.6
2003,5.9,5.2,4.5,3.4,2.5,2.1,2.4,2.9,4.0,5.0,5.5,6.0
2004,5.5,4.9,4.0,3.2,2.6,2.1,2.2,3.2,4.0,4.9,5.9,5.9
2005,5.5,5.2,4.2,3.1,2.5,2.1,2.5,3.2,4.4,5.1,5.5,6.0
2006,5.2,4.5,4.0,3.1,2.3,2.1,2.4,2.9,4.2,4.9,5.5,5.9
2007,6.0,5.5,4.5,3.3,2.6,2.1,2.3,3.2,4.3,4.6,5.3,5.6
2008,5.3,5.2,4.2,3.3,2.5,2.0,2.3,3.2,4.0,5.1,5.4,5.9
2009,5.6,4.7,4.3,3.4,2.4,1.9,2.2,3.2,4.2,4.8,5.4,6.1
2010,5.3,5.2,4.5,3.1,2.5,2.1,2.4,3.2,4.3,5.0,5.5,5.7
2011,5.2,4.9,4.3,3.1,2.4,2.0,2.2,3.1,4.3,5.1,5.6,5.7
2012,6.1,5.1,4.5,3.3,2.6,2.0,2.2,3.1,4.0,4.9,5.7,5.7
2013,5.9,5.5,4.4,3.3,2.6,2.1,2.3,3.0,4.1,5.0,5.7,5.6
2014,5.7,5.0,4.1,3.3,2.6,2.1,2.3,3.1,4.3,5.2,5.2,5.8
2015,5.9,5.4,4.4,3.1,2.7,2.0,2.2,3.3,4.1,5.4,5.7,6.3
2016,5.8,5.4,4.4,3.3,2.5,2.2,2.3,3.3,4.1,5.3,5.7,6.2
2017,5.4,4.7,4.6,3.4,2.6,2.2,2.5,3.2,4.4,4.9,5.7,5.9
2018,6.0,5.0,4.2,3.2,2.6,2.2,2.4,3.1,4.1,5.2,5.8,6.2
2019,6.0,5.2,4.5,3.3,2.6,2.3,2.5,3.3,4.4,5.3,5.9,5.6
2020,5.6,4.9,4.3,3.1,2.6,2.1,2.4,3.0,4.1,5.1,5.4,5.7
2021,5.3,5.0,4.3,3.4,2.6,2.2,2.3,3.1,4.2,4.7,5.3,5.3
2022,5.5,5.1,4.0,3.0,2.5,2.2,2.4,3.1,4.3,5.3,5.4,5.6
