YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1902,58.7,53.8,72.2,32.0,10.2,22.2,12.8,22.0,49.5,33.4,35.1,53.5
1903,42.1,42.2,28.1,44.8,23.5,18.2,9.5,13.2,8.8,33.1,67.5,45.1
1904,97.0,78.6,73.0,22.9,13.4,14.5,9.8,12.9,18.7,37.5,42.3,42.9
1905,54.7,64.4,60.6,32.7,30.5,18.8,5.0,15.5,40.8,33.2,48.6,62.6
1906,54.1,63.7,56.2,21.6,29.0,13.5,4.2,7.9,34.0,69.8,70.9,83.9
1907,87.8,93.1,63.4,75.7,35.1,7.1,4.9,3.8,26.7,41.8,56.1,70.4
1908,46.5,41.3,48.9,35.6,7.7,17.0,18.1,21.4,26.4,49.7,46.8,49.3
1909,110.9,113.3,83.9,39.2,44.9,5.6,9.1,20.7,31.7,28.6,45.7,93.7
1910,75.4,92.5,66.7,13.9,25.9,19.5,15.1,10.0,25.3,66.4,38.0,60.9
1911,82.5,48.3,85.2,42.0,51.1,16.0,25.8,22.0,25.8,51.2,56.8,30.8
1912,55.2,75.0,40.3,48.8,21.7,22.8,11.6,9.7,16.8,15.4,25.4,71.2
1913,53.4,93.5,79.4,33.9,14.2,18.3,14.9,21.3,40.5,52.0,39.4,27.2
1914,48.2,65.7,50.3,35.3,28.0,21.3,11.6,27.3,11.5,38.8,80.4,90.2
1915,109.8,78.7,25.9,22.7,23.3,17.1,29.3,7.8,19.6,52.6,53.6,54.6
1916,51.8,29.2,70.9,30.1,29.9,8.3,9.5,11.5,10.7,34.4,42.2,81.4
1917,65.2,79.2,71.0,41.4,19.6,32.1,34.0,37.9,30.8,51.6,85.4,78.8
1918,90.3,88.1,113.5,8.4,24.7,13.6,25.5,28.9,37.6,42.3,41.5,65.3
1919,56.2,48.9,57.7,37.4,10.5,9.4,9.0,14.6,17.1,16.8,61.2,29.6
1920,89.3,110.2,82.5,13.8,19.9,16.1,14.1,15.2,25.4,53.2,38.4,56.5
1921,39.4,89.8,111.7,46.4,24.2,23.0,11.4,9.0,23.5,36.5,88.8,86.9
1922,54.6,34.9,39.7,14.9,29.6,24.5,10.9,30.6,17.6,45.0,84.0,45.3
1923,113.5,88.2,45.1,31.2,26.5,20.5,22.4,9.1,6.6,21.4,50.8,50.0
1924,51.6,53.0,95.7,16.8,17.7,9.5,6.8,17.9,35.8,32.1,68.9,100.6
1925,62.5,65.7,143.6,61.8,37.0,29.1,20.1,7.7,46.5,28.6,40.9,42.0
1926,46.2,47.8,59.4,14.0,24.7,16.4,14.7,5.7,30.5,36.0,55.0,50.4
1927,45.7,50.7,73.5,19.8,12.4,4.6,20.0,17.5,8.3,54.2,30.9,61.6
1928,88.3,46.1,80.5,25.5,7.0,9.8,4.9,18.6,32.4,30.3,52.3,55.3
1929,60.8,44.8,90.6,21.0,20.8,30.8,26.3,20.7,65.2,45.9,54.5,74.4
1930,74.4,54.8,61.1,28.9,13.2,12.0,10.1,28.9,21.9,27.2,36.4,59.8
1931,80.0,45.9,58.0,48.6,5.3,5.6,38.2,11.0,11.0,42.6,59.3,57.8
1932,44.6,81.0,58.8,19.7,30.7,14.3,11.9,5.4,42.5,29.3,47.4,60.0
1933,46.7,34.1,44.3,24.9,9.0,15.0,15.1,19.3,9.8,13.8,95.5,90.2
1934,109.0,65.9,72.4,32.8,28.8,9.2,26.3,16.2,13.3,48.8,86.3,72.2
1935,39.0,51.8,59.9,39.9,48.8,20.4,10.0,17.6,19.6,19.9,32.6,46.4
1936,66.1,65.8,87.6,16.8,46.2,5.4,15.7,6.5,26.9,42.8,102.8,45.1
1937,90.2,94.8,47.3,19.0,10.3,12.6,16.6,5.4,17.5,27.2,31.7,91.9
1938,71.2,60.3,29.9,58.2,14.2,22.8,16.5,13.4,20.3,51.8,47.0,84.4
1939,75.7,129.1,55.6,17.5,28.6,7.9,31.4,38.6,31.4,49.1,76.5,49.4
1940,52.3,63.5,85.9,33.6,30.3,25.8,10.6,6.1,49.2,20.3,67.7,70.5
1941,78.6,69.2,35.1,57.6,14.8,16.9,12.6,14.7,20.9,44.1,22.9,50.1
1942,76.4,52.9,83.9,30.8,34.0,22.4,5.7,23.7,24.5,64.0,62.6,91.0
1943,57.4,44.5,65.4,81.0,33.1,12.7,22.6,43.6,25.4,49.8,102.6,74.6
1944,63.8,93.1,55.4,13.8,27.5,33.0,10.3,11.6,45.7,47.9,38.0,22.3
1945,56.5,49.8,91.0,20.0,25.9,15.1,15.7,9.2,4.9,30.5,27.1,34.5
1946,94.7,72.0,69.1,34.1,26.3,7.3,8.2,6.7,17.4,40.5,44.2,45.6
1947,51.4,53.0,69.8,36.6,19.3,16.9,20.9,6.3,29.9,34.2,59.6,86.4
1948,65.3,63.1,107.3,54.9,13.5,5.5,12.6,4.8,17.4,47.6,47.9,31.8
1949,69.3,46.8,47.7,29.8,19.9,11.5,8.3,11.3,19.0,30.8,73.1,75.6
1950,47.6,59.2,76.8,61.6,44.7,7.4,22.3,26.0,24.9,31.8,46.2,99.9
1951,59.1,40.1,51.3,38.7,26.8,17.9,16.4,22.0,28.9,55.8,17.4,40.6
1952,49.5,75.5,35.9,25.2,18.5,14.5,31.2,17.2,31.3,27.7,63.6,70.0
1953,54.0,89.9,45.2,55.6,14.3,10.7,14.8,20.6,23.0,48.6,79.1,69.4
1954,58.0,58.8,86.6,36.5,43.5,11.6,17.5,18.2,24.8,30.6,61.6,50.7
1955,110.4,106.1,53.0,42.5,19.8,23.5,15.2,15.4,12.1,46.7,77.1,73.7
1956,37.9,102.9,97.1,17.0,37.9,12.6,11.5,10.6,32.1,49.9,57.4,89.2
1957,58.3,69.7,66.1,32.2,23.0,28.7,23.1,29.9,63.0,61.1,37.2,59.7
1958,108.9,46.9,39.8,40.2,36.6,8.3,3.3,11.8,30.0,29.8,59.3,88.8
1959,68.3,61.4,39.1,44.5,55.6,4.7,24.9,16.7,14.3,40.1,47.7,73.9
1960,46.0,57.7,59.0,45.6,21.1,12.7,9.8,21.2,19.5,35.5,67.8,87.5
1961,55.6,50.5,90.5,71.2,35.5,31.3,22.5,16.7,24.1,22.0,67.4,48.4
1962,50.2,67.6,57.0,40.9,7.6,18.7,6.8,29.6,9.7,35.1,86.2,46.5
1963,104.8,34.0,80.6,53.6,19.0,27.5,33.1,14.6,6.4,47.3,71.4,51.6
1964,64.3,43.1,45.3,27.7,7.3,34.4,5.8,15.0,27.6,71.0,40.9,65.0
1965,51.3,29.3,34.6,46.1,16.6,19.1,19.8,15.1,17.8,37.8,58.1,32.6
1966,89.3,66.6,17.2,19.1,18.1,14.0,7.7,15.8,22.8,31.9,39.7,64.0
1967,97.6,85.8,71.2,92.6,42.5,19.2,14.1,12.2,10.0,35.3,53.8,34.4
1968,32.4,28.3,80.8,43.3,34.3,18.1,9.6,18.0,20.9,31.4,45.3,52.5
1969,35.2,62.8,86.1,47.1,32.0,9.1,8.0,8.8,21.4,66.8,37.6,52.8
1970,36.9,49.5,18.9,17.2,23.2,24.6,15.2,39.3,23.2,45.7,41.0,78.9
1971,82.5,56.0,51.6,52.6,37.7,10.1,32.6,29.3,13.0,49.2,53.7,57.9
1972,115.6,78.5,87.4,27.8,23.7,12.2,7.1,9.6,11.4,29.3,47.2,29.1
1973,38.1,75.4,57.6,49.9,10.7,3.8,17.7,25.0,45.0,35.5,56.3,88.3
1974,136.8,105.3,92.6,45.7,35.3,18.7,10.9,44.3,16.0,23.5,80.6,59.7
1975,87.8,85.6,71.6,42.1,24.9,16.6,16.0,13.5,38.1,19.5,61.5,119.4
