YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1902,7.7,7.2,8.9,5.2,2.3,3.2,2.8,3.5,6.6,6.1,6.0,7.3
1903,6.4,6.4,5.3,5.8,3.9,2.9,2.3,2.5,2.7,5.8,8.2,6.7
1904,10.2,8.8,8.4,4.6,3.1,3.1,2.1,2.8,3.9,6.8,6.3,7.0
1905,7.0,7.9,8.2,5.2,4.2,2.9,1.3,3.2,5.8,5.8,6.7,7.9
1906,6.9,7.6,8.0,4.4,4.4,2.7,1.2,1.8,4.8,8.7,8.5,9.8
1907,9.4,9.3,8.3,8.4,4.8,2.0,1.5,1.3,4.6,6.7,7.4,8.9
1908,7.2,6.1,7.2,5.5,2.2,3.0,3.8,3.7,4.5,6.9,7.0,7.1
1909,10.3,10.6,9.8,6.0,5.6,1.5,2.0,3.6,4.9,5.6,7.0,10.0
1910,8.8,9.8,8.2,3.4,3.8,3.8,2.9,2.2,3.9,8.1,6.8,7.4
1911,9.2,6.8,9.3,6.2,6.0,3.1,4.5,4.0,3.9,7.5,7.9,5.2
1912,7.5,8.6,6.4,6.6,3.8,3.8,2.6,2.2,3.3,3.9,5.2,8.7
1913,7.7,9.9,8.8,5.8,2.9,3.5,2.8,3.5,5.6,7.6,6.7,4.8
1914,7.7,8.4,7.4,5.4,4.7,3.8,2.0,4.6,3.0,6.5,9.3,8.9
1915,9.2,9.0,4.8,4.4,4.3,3.3,4.4,2.1,3.9,7.2,7.3,8.1
1916,7.7,5.0,9.0,5.5,4.4,1.6,2.2,2.2,2.8,6.1,6.6,9.6
1917,8.6,9.5,8.5,6.3,3.5,4.8,4.8,5.3,4.8,6.5,9.0,8.6
1918,9.2,8.8,10.9,2.3,4.4,2.6,4.3,3.9,5.7,7.2,6.2,7.7
1919,6.9,6.7,7.8,5.7,2.4,1.9,2.1,3.1,3.7,4.2,8.3,5.5
1920,8.7,10.6,9.1,3.4,3.8,2.8,2.5,3.2,4.3,7.4,6.2,8.2
1921,6.3,10.5,10.5,6.4,4.2,3.2,2.1,2.0,3.6,5.9,9.8,9.6
