YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1902,14.6,16.0,16.2,13.6,11.1,8.7,8.0,8.4,8.8,10.6,12.8,14.7
1903,15.8,16.1,14.8,11.9,9.6,7.5,7.3,7.9,9.1,10.6,12.2,14.4
1904,14.9,15.7,14.5,12.8,9.7,8.1,7.8,7.9,8.9,10.8,12.9,13.4
1905,15.4,15.6,14.3,13.2,9.5,7.6,7.9,7.4,9.3,11.3,12.6,14.5
1906,15.9,15.7,14.7,12.0,9.8,8.3,7.2,7.3,8.9,10.2,12.6,13.6
1907,14.9,15.7,15.3,12.0,9.0,7.7,7.4,8.0,9.2,10.3,11.9,13.3
1908,14.7,16.0,14.7,11.2,9.8,7.8,7.6,7.9,9.4,10.7,12.4,14.5
1909,15.3,15.2,14.1,12.8,9.6,8.3,7.7,8.1,9.3,10.6,12.8,13.5
1910,15.2,15.5,14.7,12.2,9.6,7.5,7.3,7.4,9.3,10.4,11.8,14.0
1911,15.2,16.8,14.3,12.2,9.4,7.3,7.0,7.5,9.0,11.6,12.8,14.8
1912,15.7,16.0,14.4,12.9,10.0,8.1,7.4,7.8,8.6,11.1,13.0,14.6
1913,15.9,16.6,14.5,12.8,10.0,8.2,7.4,8.4,9.0,10.7,13.1,13.9
1914,16.1,16.2,15.2,12.8,10.5,7.7,7.6,7.6,9.8,11.8,12.4,14.3
1915,16.8,16.7,15.5,12.5,9.6,7.9,7.1,7.9,9.1,10.6,12.7,14.2
1916,15.9,16.6,14.6,12.9,8.8,7.6,7.7,7.5,9.2,11.3,13.1,14.6
1917,15.4,16.1,14.8,12.3,9.2,7.7,7.2,7.1,8.9,10.8,12.3,13.9
1918,14.9,16.4,14.7,12.4,9.3,7.7,7.4,7.5,9.7,11.5,12.7,14.3
1919,15.4,16.5,15.2,13.8,9.5,8.3,7.6,7.9,8.8,11.3,12.3,14.4
1920,16.3,15.8,14.3,12.7,9.8,7.4,7.9,8.2,9.1,10.8,13.8,14.1
1921,15.6,16.5,15.1,12.2,9.4,7.9,6.8,7.3,8.8,10.9,12.6,13.8
1922,15.7,16.1,15.5,13.2,9.4,7.8,7.9,7.9,9.8,11.3,12.8,14.7
1923,15.3,16.1,15.6,12.2,9.2,7.8,7.5,8.2,9.4,12.3,13.9,14.5
1924,16.2,15.5,14.5,12.4,9.4,7.7,7.3,7.5,9.1,10.7,12.4,14.3
1925,14.9,17.1,15.1,12.9,9.6,7.4,7.5,8.3,9.3,10.8,12.9,14.6
1926,16.9,17.4,15.1,12.8,9.8,8.1,6.9,7.7,8.9,11.0,12.2,14.3
1927,16.0,16.5,14.8,13.2,9.6,8.1,8.0,8.1,9.9,11.5,13.8,14.4
1928,15.4,15.9,15.2,12.9,9.8,8.0,7.7,7.8,9.0,11.3,13.0,14.7
1929,15.9,16.2,14.4,12.3,10.2,8.4,7.4,8.1,9.8,11.5,13.3,14.5
1930,15.1,15.5,15.1,12.5,9.9,8.0,7.7,7.7,8.7,11.4,13.3,15.2
1931,16.0,17.4,16.0,12.2,10.8,8.1,7.5,8.3,9.3,11.1,13.6,14.7
1932,15.1,16.6,15.8,14.1,10.5,8.3,7.4,8.5,9.8,11.6,13.7,14.6
1933,15.9,16.8,15.8,13.4,10.4,7.9,7.8,8.0,9.6,11.8,13.1,14.5
1934,15.5,15.7,15.2,14.1,11.1,9.4,7.7,8.8,9.7,11.2,13.3,14.5
1935,15.9,16.2,14.0,12.4,9.5,7.8,7.7,7.4,9.1,11.8,12.6,14.0
1936,15.3,15.4,15.4,13.3,9.2,8.7,8.1,8.7,9.4,10.7,12.5,14.1
1937,15.7,17.0,15.5,12.9,10.1,8.1,7.4,8.6,9.2,11.5,13.9,14.3
1938,15.4,15.9,15.9,13.5,10.2,8.7,8.1,8.0,9.5,11.6,12.6,14.5
1939,15.6,16.3,15.0,12.4,10.3,8.5,7.8,8.0,9.1,11.6,12.9,14.6
1940,15.3,16.9,15.5,12.4,9.8,8.3,7.5,8.6,10.0,11.2,13.1,15.4
1941,15.9,16.2,14.9,13.4,10.4,8.3,8.0,8.8,9.0,12.1,13.2,14.8
1942,16.5,17.6,15.7,13.2,10.0,8.2,7.9,8.5,9.5,11.3,13.5,14.3
1943,14.9,14.9,15.5,13.3,9.8,7.7,7.7,7.8,9.3,11.4,13.4,14.3
1944,16.5,16.3,15.2,12.6,9.1,8.1,7.7,8.7,9.5,12.3,13.5,14.1
1945,15.7,17.7,15.5,13.5,9.7,7.7,7.7,8.1,10.4,11.2,13.7,14.1
1946,15.8,16.5,15.4,13.5,10.8,7.9,7.7,8.0,9.8,11.5,13.4,14.9
1947,16.0,17.7,15.9,13.4,10.2,8.3,7.2,8.3,9.5,12.0,14.0,14.6
1948,15.6,16.1,15.6,12.7,10.6,7.8,8.1,8.3,8.7,11.6,12.7,14.5
1949,16.8,15.9,15.4,12.9,10.1,8.8,7.8,8.4,10.1,11.6,13.0,14.9
1950,15.7,16.9,17.1,13.3,10.1,8.8,8.1,8.6,9.9,10.5,12.7,14.5
1951,14.6,16.3,15.0,13.2,10.4,7.7,7.1,7.8,8.9,11.6,13.1,15.2
1952,16.6,16.8,15.3,13.1,9.8,8.7,8.2,8.3,9.2,11.9,13.7,14.3
1953,16.7,17.2,15.1,12.7,10.1,7.5,7.2,8.0,9.1,11.9,13.3,14.8
1954,15.2,16.1,15.5,12.4,10.1,7.9,6.9,7.9,9.8,11.6,12.8,14.8
1955,15.8,15.9,14.9,12.3,10.7,8.4,7.7,7.6,8.7,10.3,12.3,13.7
1956,15.4,16.1,16.1,12.6,9.8,8.1,8.2,8.1,8.9,11.2,13.3,13.7
1957,16.3,16.9,16.1,12.6,9.9,7.9,8.5,8.1,9.9,11.1,13.7,15.2
1958,16.6,16.2,15.4,13.5,10.3,7.7,8.0,8.1,9.7,11.1,13.7,15.3
1959,15.0,16.5,15.2,13.1,9.8,8.6,8.4,8.1,9.3,11.3,13.4,14.8
1960,15.2,16.6,15.6,12.6,9.5,8.2,7.4,9.2,10.0,12.2,13.7,14.9
1961,15.2,16.4,16.4,13.8,10.6,9.5,9.0,8.2,10.3,10.7,13.5,14.1
1962,16.1,16.6,15.4,12.7,9.6,8.1,7.8,8.5,9.7,12.1,13.9,15.1
1963,15.8,16.0,14.7,12.6,9.6,8.4,7.8,7.8,10.5,12.3,14.3,14.9
1964,15.8,16.6,16.9,12.8,10.1,7.4,7.1,8.1,9.6,11.8,13.0,14.3
1965,15.9,16.4,15.2,13.0,9.7,7.3,7.9,8.9,10.1,10.2,13.5,14.9
1966,17.7,16.4,15.0,12.9,9.8,9.2,7.9,8.3,9.7,11.9,13.9,15.8
1967,16.2,16.3,15.4,13.4,10.5,8.4,7.3,8.2,9.7,11.5,13.8,14.8
1968,15.9,15.5,15.4,12.3,10.5,7.2,8.0,8.6,9.5,11.4,12.7,15.3
1969,16.7,18.1,16.6,13.2,10.2,8.6,8.2,8.6,9.3,11.8,13.4,14.9
1970,16.7,16.4,15.4,13.1,10.3,8.6,7.9,8.5,9.9,11.6,13.7,14.9
1971,16.2,16.0,16.0,13.7,10.1,8.5,8.1,7.9,10.0,11.2,12.7,14.5
1972,16.3,15.7,16.0,13.5,9.7,7.9,7.6,7.9,9.5,12.2,13.6,15.7
1973,16.7,16.7,17.3,13.4,10.0,8.9,8.1,8.1,9.6,11.8,13.1,14.6
1974,16.6,17.2,15.7,13.3,10.0,8.3,8.0,8.2,9.1,11.5,13.7,14.6
1975,15.6,16.5,15.2,12.7,10.3,8.4,7.6,8.0,10.5,10.9,13.2,14.2
1976,15.8,16.1,15.9,12.9,10.3,8.4,7.6,7.6,9.9,11.4,12.7,14.4
1977,16.4,17.5,15.2,13.5,9.4,8.0,7.5,8.4,10.4,11.9,13.6,15.5
1978,16.3,16.7,16.4,12.6,9.7,7.5,8.1,9.1,9.7,10.9,13.5,14.6
1979,15.3,17.2,15.1,13.5,10.5,8.7,7.9,9.1,9.8,11.9,13.4,14.9
1980,15.5,16.8,16.0,12.3,9.8,7.9,7.6,8.9,9.8,11.3,13.3,14.9
1981,16.4,16.8,14.9,12.9,10.4,7.7,7.9,8.2,9.0,10.4,13.9,14.7
1982,15.8,16.9,15.5,12.8,10.0,8.1,8.4,8.4,10.4,11.7,13.1,15.1
1983,17.4,16.7,16.3,14.5,10.9,9.0,8.5,8.0,10.1,12.0,14.1,15.5
1984,16.3,17.2,17.0,13.0,10.3,8.5,8.4,8.7,10.3,12.4,13.2,14.7
1985,17.0,17.4,15.4,12.6,10.3,8.3,7.9,9.0,10.3,12.6,14.1,15.0
1986,16.4,16.1,15.8,14.1,10.5,8.6,8.0,9.1,10.1,11.9,13.0,15.4
1987,16.2,18.3,16.5,14.4,11.2,8.2,7.8,8.5,10.4,11.7,14.6,16.0
1988,16.8,18.1,17.4,13.6,10.4,8.2,7.8,8.8,9.8,11.3,13.0,14.5
1989,16.2,16.7,15.5,13.3,11.0,8.9,7.9,9.3,9.5,11.1,13.2,14.9
1990,16.3,15.8,16.2,14.2,10.5,8.4,8.3,8.4,9.7,11.8,13.8,15.4
1991,16.8,16.9,16.0,12.7,10.5,8.8,7.9,8.3,10.4,12.4,13.8,14.8
1992,16.8,17.4,16.3,14.3,10.1,8.5,8.2,8.4,10.6,12.0,13.4,15.5
1993,16.8,16.9,16.3,13.1,10.5,8.5,8.7,8.9,10.5,12.9,13.9,15.8
1994,16.3,16.7,15.8,13.4,10.0,8.0,7.3,8.3,10.2,11.0,13.9,15.2
1995,17.0,17.7,16.9,13.2,11.0,8.2,7.9,9.0,10.7,11.7,14.2,14.5
1996,17.1,17.3,15.3,13.4,11.1,8.7,7.7,8.3,9.9,12.2,13.4,15.3
1997,16.8,16.9,16.4,12.2,9.8,8.5,8.3,9.0,11.0,12.2,13.5,15.7
1998,16.6,18.2,16.7,14.1,10.4,8.3,8.5,8.9,10.1,12.1,13.8,15.3
1999,16.9,17.5,17.0,14.2,11.1,8.8,8.8,8.6,9.7,11.9,14.5,15.6
2000,15.3,17.6,17.1,13.1,9.5,8.7,7.8,8.7,9.6,11.9,13.0,14.7
2001,15.6,16.7,16.6,14.1,10.6,8.7,8.0,8.6,9.7,12.7,14.2,14.9
2002,15.5,16.5,15.9,13.8,10.1,8.3,7.6,9.0,10.1,11.7,12.5,15.4
2003,16.6,17.9,15.9,14.3,10.4,8.1,7.6,7.8,9.9,12.2,14.2,15.1
2004,16.9,17.9,16.1,14.2,10.7,8.9,7.6,9.1,9.5,12.3,15.4,15.9
2005,16.9,17.9,15.8,13.5,10.9,8.6,8.3,8.7,10.5,12.1,14.1,14.6
2006,17.5,18.2,15.1,13.5,9.5,8.4,8.5,8.6,10.0,12.6,14.0,15.3
