"date","tempmax","tempmin","dew_point","humidity","rain","pop","pressure","clouds","solarradiation","solarenergy","uvi","tempmean","tempdiurnal"
1973-01-01,"28","27.1","14.6","45.1","","0","","50","","","","27.55","0.899999999999999"
1973-01-02,"32","26.1","11.1","34.4","","0","","75","","","","29.05","5.9"
1973-01-03,"28","22.1","13.4","50.1","","0","","76.7","","","","25.05","5.9"
1973-01-04,"29","22","13.5","48.9","","0","","40","","","","25.5","7"
1973-01-05,"31","21.1","15.7","63.9","","0","","30","","","","26.05","9.9"
1973-01-06,"27.1","22.1","14.1","53.3","","0","","70","","","","24.6","5"
1973-01-07,"27","16.1","15.1","62.3","","0","","43.3","","","","21.55","10.9"
1973-01-08,"29.1","22.1","13.1","46.5","","0","","35","","","","25.6","7"
1973-01-09,"26.1","23.1","12.1","45.8","","0","","75","","","","24.6","3"
1973-01-10,"26","16.1","13.6","64","","0","","45","","","","21.05","9.9"
1973-01-11,"25.1","25.1","15.1","53.8","","0","","20","","","","25.1","0"
1973-01-12,"30","21.1","12.6","48.8","","0","","25","","","","25.55","8.9"
1973-01-13,"29","18.1","12.7","55.8","","0","","16.7","","","","23.55","10.9"
1973-01-14,"27","19","11.7","50.3","","0","","26.7","","","","23","8"
1973-01-15,"26","25.1","15.1","52.3","","0","","45","","","","25.55","0.899999999999999"
1973-01-16,"","","","","","","","","","","","",""
1973-01-17,"30.1","18.1","13.5","51.3","","0","","16","","","","24.1","12"
1973-01-18,"32","22.1","12.6","42.3","","0","","27.5","","","","27.05","9.9"
1973-01-19,"35.1","35.1","10.1","21.8","","0","","30","","","","35.1","0"
1973-01-20,"28.1","20.1","14.4","51.3","","0","","52.5","","","","24.1","8"
1973-01-21,"32","23.1","11.1","36.7","","0","","36.7","","","","27.55","8.9"
1973-01-22,"32.1","23","14.4","48.9","","0","","56.7","","","","27.55","9.1"
1973-01-23,"32.1","20.1","13.4","47.1","","0","","75","","","","26.1","12"
1973-01-24,"29","16.1","14.8","66.4","","0","","56.7","","","","22.55","12.9"
1973-01-25,"26.1","19.1","16.1","68.5","","0","","80","","","","22.6","7"
1973-01-26,"27.1","18.1","15.1","65","","0","","75","","","","22.6","9"
