date,pressure,humidity,clouds,dew_point,rain,tempmax,tempmin,tempmean,tempdiurnal,precipprob,solarradiation,solarenergy,uvi
1979-01-01,1012.72,68.72,70.16,16.192,3.84,30.65,16.99,23.82,13.66,0.0,239.48000000000002,20.68,9.0
1979-01-02,1010.08333333333,67.8333333333333,61.5,16.04625,1.97,32.29,14.73,23.51,17.56,0.0,246.54000000000002,21.38,8.8
1979-01-03,1015.41666666667,70.6666666666667,53.2083333333333,14.09125,2.33,27.06,14.75,20.905,12.31,0.0,258.71999999999997,22.380000000000003,9.0
1979-01-04,1021.29166666667,68.9583333333333,69.9583333333333,11.2591666666667,0.93,21.09,13.07,17.08,8.02,0.0,151.98000000000002,13.14,6.0
1979-01-05,1018.04166666667,60.0416666666667,35.7916666666667,11.1041666666667,0.0,26.19,13.81,20.0,12.38,0.0,237.38000000000002,20.52,8.6
1979-01-06,1012.33333333333,53.375,34.4583333333333,12.5075,1.19,31.63,15.87,23.75,15.76,0.0,290.64,25.119999999999997,9.0
1979-01-07,1014.5,66.125,60.3333333333333,14.1845833333333,6.89,30.81,15.51,23.16,15.3,0.0,236.18,20.46,7.8
1979-01-08,1021.20833333333,72.5,67.25,14.1379166666667,0.0,25.05,14.81,19.93,10.24,0.0,188.7,16.36,6.8
1979-01-09,1018.41666666667,66.75,40.2916666666667,13.8641666666667,0.0,27.96,14.84,21.4,13.12,0.0,267.8,23.060000000000002,9.0
1979-01-10,1012.66666666667,56.875,44.9583333333333,13.4466666666667,0.0,30.29,16.34,23.315,13.95,0.0,272.64000000000004,23.54,9.4
1979-01-11,1010.58333333333,52.0833333333333,46.5,12.4420833333333,0.0,32.76,16.45,24.605,16.31,0.0,272.32000000000005,23.4,9.2
1979-01-12,1011.95833333333,67.5833333333333,82.2916666666667,14.99,6.73,29.9,16.32,23.11,13.58,0.0,159.5,13.719999999999999,8.0
1979-01-13,1015.125,66.5,82.9166666666667,14.8920833333333,2.86,28.98,15.87,22.425,13.11,0.0,160.64000000000001,13.76,8.4
1979-01-14,1015.83333333333,61.4166666666667,27.25,14.76125,0.17,31.86,14.78,23.32,17.08,0.0,258.38,22.28,9.0
1979-01-15,1015.16666666667,63.625,48.375,16.5929166666667,0.64,31.34,17.91,24.625,13.43,0.0,242.1,20.860000000000003,8.6
1979-01-16,1013.33333333333,57.5,82.4166666666667,14.7254166666667,0.44,31.73,17.9,24.815,13.83,0.0,184.64000000000001,15.919999999999998,8.0
1979-01-17,1013.91666666667,64.375,56.0416666666667,15.8741666666667,10.82,32.05,18.19,25.12,13.86,0.0,288.4,24.880000000000003,8.8
1979-01-18,1015.33333333333,74.7916666666667,87.9583333333333,16.05,4.02,26.26,18.02,22.14,8.24,0.0,114.02000000000001,9.86,5.8
1979-01-19,1013.84,75.36,62.08,17.0004,8.26,28.81,16.85,22.83,11.96,0.0,205.3,17.68,8.4
1979-01-20,1010.45833333333,85.7083333333333,94.5416666666667,17.2470833333333,4.09,23.74,16.69,20.215,7.05,0.0,81.10000000000001,7.0200000000000005,4.2
1979-01-21,1012.5,67.5833333333333,78.125,14.81625,0.0,29.82,14.56,22.19,15.26,0.0,245.87999999999997,21.2,9.4
1979-01-22,1021.70833333333,60.625,65.4166666666667,10.80125,0.0,26.75,13.35,20.05,13.4,0.0,236.3,20.5,8.0
1979-01-23,1022.66666666667,59.0,11.25,10.2916666666667,0.0,25.72,12.11,18.915,13.61,0.0,269.12,23.12,8.8
1979-01-24,1018.54166666667,58.9583333333333,5.95833333333333,11.3866666666667,0.0,27.01,13.24,20.125,13.77,0.0,193.26,16.6,7.4
1979-01-25,1014.91666666667,55.2916666666667,45.0,12.1704166666667,0.0,28.5,15.48,21.99,13.02,0.0,279.82,24.2,9.2
1979-01-26,1012.25,48.5833333333333,51.9166666666667,12.0975,0.0,31.34,15.87,23.605,15.47,0.0,276.34000000000003,23.84,9.2
1979-01-27,1011.5,53.0416666666667,67.1666666666667,13.46875,0.0,30.37,18.33,24.35,12.04,0.0,255.71999999999997,22.12,8.4
1979-01-28,1010.70833333333,58.1666666666667,55.75,15.26,0.3,30.13,19.54,24.835,10.59,0.0,275.16,23.8,9.4
1979-01-29,1010.79166666667,67.4583333333333,56.1666666666667,16.5954166666667,5.73,29.22,18.74,23.98,10.48,0.0,314.16,27.139999999999997,9.6
1979-01-30,1015.54166666667,79.5416666666667,87.7916666666667,17.285,10.66,27.05,17.02,22.035,10.03,0.0,98.26,8.48,5.0
1979-01-31,1018.70833333333,79.375,72.375,16.2991666666667,5.09,24.55,16.27,20.41,8.28,0.0,202.07999999999998,17.580000000000002,6.8
1979-02-01,1017.70833333333,74.5833333333333,34.875,16.1666666666667,0.43,27.85,15.55,21.7,12.3,0.0,240.24,20.74,8.8
1979-02-02,1016.73076923077,73.5769230769231,35.5384615384615,15.6961538461538,7.72,28.5,14.58,21.54,13.92,0.0,225.32000000000002,19.46,8.2
1979-02-03,1015.20833333333,72.125,31.25,14.9458333333333,0.0,26.73,14.02,20.375,12.71,0.0,282.44,24.36,9.2
1979-02-04,1013.25,64.5416666666667,16.2083333333333,14.9679166666667,0.0,28.9,15.08,21.99,13.82,0.0,271.06,23.400000000000002,8.8
1979-02-05,1011.83333333333,65.125,32.7083333333333,15.8883333333333,5.11,31.28,17.65,24.465,13.63,0.0,227.7,19.64,8.8
1979-02-06,1012.95833333333,68.375,54.2083333333333,17.1229166666667,5.09,31.82,17.36,24.59,14.46,0.0,237.9,20.5,8.4
1979-02-07,1012.75,69.75,52.6666666666667,16.155,4.27,28.77,17.81,23.29,10.96,0.0,240.38000000000002,20.68,8.6
1979-02-08,1013.125,75.4583333333333,42.9166666666667,16.5820833333333,10.02,28.29,17.21,22.75,11.08,0.0,215.46000000000004,18.54,7.6
1979-02-09,1013.95833333333,73.5416666666667,44.375,16.7933333333333,2.28,27.56,17.15,22.355,10.41,0.0,297.24,25.639999999999997,9.4
1979-02-10,1013.20833333333,70.75,36.4583333333333,16.1654166666667,6.94,29.9,16.74,23.32,13.16,0.0,252.92,21.88,8.4
1979-02-11,1013.875,72.3333333333333,43.5,16.535,0.76,27.98,16.77,22.375,11.21,0.0,295.06,25.419999999999998,9.2
1979-02-12,1013.83333333333,64.8333333333333,33.2916666666667,15.3770833333333,0.28,30.57,17.29,23.93,13.28,0.0,249.04000000000002,21.52,8.8
1979-02-13,1015.08333333333,60.125,77.7083333333333,14.2891666666667,0.0,28.82,17.64,23.23,11.18,0.0,173.82,14.940000000000001,8.6
1979-02-14,1013.25,63.7916666666667,38.5833333333333,14.8370833333333,0.65,29.83,17.15,23.49,12.68,0.0,258.46000000000004,22.22,8.8
1979-02-15,1010.16666666667,65.0416666666667,37.9166666666667,15.5291666666667,0.59,31.62,16.26,23.94,15.36,0.0,245.63999999999996,21.18,8.6
