date,tempmax,tempmin,dew_point,humidity,rain,pop,pressure,clouds,solarradiation,solarenergy,uvi,tempmean,tempdiurnal
1973-01-01,28.0,27.1,14.6,45.1,0.0,0.0,1019.0600000000001,50.0,242.35999999999999,20.96,8.4,27.55,0.899999999999999
1973-01-02,32.0,26.1,11.1,34.4,0.0,0.0,1021.7800000000001,75.0,266.8,23.139999999999997,8.6,29.05,5.9
1973-01-03,28.0,22.1,13.4,50.1,0.0,0.0,1020.3799999999999,76.7,237.76,20.499999999999996,8.4,25.05,5.9
1973-01-04,29.0,22.0,13.5,48.9,0.0,0.0,1021.6400000000001,40.0,239.3,20.64,8.6,25.5,7.0
1973-01-05,31.0,21.1,15.7,63.9,0.0,0.0,1019.68,30.0,174.16,14.98,8.0,26.05,9.9
1973-01-06,27.1,22.1,14.1,53.3,0.0,0.0,1018.5400000000002,70.0,233.61999999999998,20.16,8.8,24.6,5.0
1973-01-07,27.0,16.1,15.1,62.3,0.0,0.0,1018.46,43.3,307.26,26.580000000000002,9.6,21.55,10.9
1973-01-08,29.1,22.1,13.1,46.5,0.0,0.0,1026.72,35.0,250.24,21.6,9.0,25.6,7.0
1973-01-09,26.1,23.1,12.1,45.8,0.0,0.0,1020.82,75.0,226.73999999999995,19.54,8.2,24.6,3.0
1973-01-10,26.0,16.1,13.6,64.0,0.0,0.0,1021.2,45.0,299.36,25.860000000000003,9.6,21.05,9.9
1973-01-11,25.1,25.1,15.1,53.8,0.0,0.0,1021.8800000000001,20.0,278.5,24.1,9.2,25.1,0.0
1973-01-12,30.0,21.1,12.6,48.8,0.0,0.0,1027.24,25.0,297.24000000000007,25.6,9.6,25.55,8.9
1973-01-13,29.0,18.1,12.7,55.8,0.0,0.0,1021.5199999999999,16.7,244.61999999999998,21.179999999999996,8.8,23.55,10.9
1973-01-14,27.0,19.0,11.7,50.3,0.0,0.0,1020.28,26.7,324.9,28.1,10.0,23.0,8.0
1973-01-15,26.0,25.1,15.1,52.3,0.0,0.0,993.26,45.0,161.32,13.919999999999998,7.6,25.55,0.899999999999999
1973-01-17,30.1,18.1,13.5,51.3,0.0,0.0,1022.68,16.0,299.42,25.920000000000005,9.6,24.1,12.0
1973-01-18,32.0,22.1,12.6,42.3,0.0,0.0,1004.26,27.5,305.68,26.360000000000003,9.4,27.05,9.9
1973-01-19,35.1,35.1,10.1,21.8,0.0,0.0,1018.1200000000001,30.0,294.21999999999997,25.46,9.4,35.1,0.0
1973-01-20,28.1,20.1,14.4,51.3,0.0,0.0,1021.1600000000001,52.5,241.95999999999998,20.919999999999998,8.4,24.1,8.0
1973-01-21,32.0,23.1,11.1,36.7,0.0,0.0,1005.36,36.7,297.02000000000004,25.639999999999997,9.2,27.55,8.9
1973-01-22,32.1,23.0,14.4,48.9,0.0,0.0,1022.4399999999999,56.7,254.83999999999997,22.04,8.4,27.55,9.1
1973-01-23,32.1,20.1,13.4,47.1,0.0,0.0,1020.0600000000001,75.0,229.42,19.82,8.2,26.1,12.0
1973-01-24,29.0,16.1,14.8,66.4,0.0,0.0,1020.9,56.7,289.84000000000003,25.04,9.8,22.55,12.9
1973-01-25,26.1,19.1,16.1,68.5,0.0,0.0,1007.54,80.0,286.28000000000003,24.8,9.2,22.6,7.0
1973-01-26,27.1,18.1,15.1,65.0,0.0,0.0,1007.7,75.0,235.45999999999998,20.380000000000003,8.4,22.6,9.0
1973-01-27,30.1,21.1,16.6,61.6,0.0,0.0,1020.18,30.0,173.61999999999998,14.919999999999998,8.0,25.6,9.0
1973-01-28,26.0,15.1,13.9,62.3,0.0,0.0,1022.14,50.0,275.74,23.78,9.2,20.55,10.9
1973-01-29,30.1,20.0,14.6,49.2,0.0,0.0,1021.46,42.5,238.9,20.6,8.6,25.05,10.1
1973-01-30,22.1,19.1,13.6,63.8,0.0,0.0,993.9399999999999,75.0,162.61999999999998,14.079999999999998,6.8,20.6,3.0
1973-01-31,18.1,15.1,13.6,82.7,0.0,0.0,1010.3399999999999,100.0,110.68000000000002,9.6,5.2,16.6,3.0
1973-02-01,18.1,10.1,10.4,76.4,0.0,0.0,1010.8800000000001,96.7,108.24000000000001,9.379999999999999,5.0,14.1,8.0
1973-02-02,22.1,11.1,11.8,71.3,0.0,0.0,1024.86,30.0,140.1,12.059999999999999,6.4,16.6,11.0
1973-02-03,25.0,15.1,10.6,58.0,0.0,0.0,1022.8799999999999,45.0,254.5,22.0,9.0,20.05,9.9
1973-02-04,24.0,13.1,11.4,67.5,0.0,0.0,1023.4199999999998,60.0,203.7,17.68,8.2,18.55,10.9
1973-02-05,26.1,14.1,12.8,65.0,0.0,0.0,1022.3800000000001,55.0,208.71999999999997,18.06,8.0,20.1,12.0
1973-02-06,26.0,16.1,13.1,63.8,0.0,0.0,993.1400000000001,74.0,264.0,22.78,9.2,21.05,9.9
1973-02-07,25.0,21.0,15.0,60.8,0.0,0.0,1020.9399999999999,53.3,174.07999999999998,15.0,7.0,23.0,4.0
1973-02-08,23.1,13.1,14.1,70.0,0.0,0.0,1023.14,72.5,235.12000000000003,20.38,8.0,18.1,10.0
1973-02-09,25.0,15.1,13.4,69.1,0.0,0.0,1022.54,64.0,214.56,18.54,8.4,20.05,9.9
1973-02-10,29.0,17.1,10.8,49.7,0.0,0.0,1021.5200000000001,40.0,289.62,24.96,9.4,23.05,11.9
1973-02-11,30.0,19.1,11.6,44.5,0.0,0.0,1021.7,15.0,319.93999999999994,27.560000000000002,10.0,24.55,10.9
1973-02-12,28.0,20.1,13.6,54.4,0.0,0.0,992.4,40.0,219.8,18.96,9.4,24.05,7.9
1973-02-13,26.1,19.1,15.3,66.4,0.0,0.0,993.4200000000001,75.0,188.58,16.34,7.4,22.6,7.0
1973-02-14,27.0,14.1,12.8,57.5,0.0,0.0,1022.9399999999999,67.5,218.35999999999999,18.880000000000003,7.6,20.55,12.9
1973-02-15,29.0,16.1,14.1,58.6,0.0,0.0,1019.6200000000001,77.5,237.76000000000005,20.5,8.4,22.55,12.9
1973-02-16,28.0,18.1,14.9,58.1,0.0,0.0,1020.0600000000001,82.0,232.92,20.1,8.4,23.05,9.9
