datetime,tempmax,tempmin,temp,dew,humidity,precip,precipprob,sealevelpressure,cloudcover,visibility,solarradiation,uvindex
2022-01-10,25,14.6,20,12.3,62.6,0,0,1019.4,32,10.4,284.4,10
2022-01-11,24.5,16.6,20.7,14.6,69.1,6.2,100,1019.3,42.9,9.9,185.8,9
2022-01-12,26.2,15.4,19.5,15.3,78.6,6.7,100,1022.3,69.5,8.3,312,10
2022-01-13,25.9,16.9,20.9,15.8,73.3,0.4,100,1023.4,45.3,10.1,158.7,8
2022-01-14,25.4,17.8,20.8,15.8,74.5,1.1,100,1023.2,59.8,10.3,241.3,10
2022-01-15,24.3,17.1,19.9,15.8,78.4,8.2,100,1021.5,71.5,10.4,199.7,8
2022-01-16,23.8,4.2,18.9,12.7,68.6,4.4,100,1020.1,67.9,10.6,170.5,6
2022-01-17,24.4,16.8,19.5,16.2,82,0.2,100,1021,77.7,9.5,187.5,8
2022-01-18,24,3.6,19.1,14.4,75.6,1.8,100,1022.1,72.8,9.9,146.7,6
2022-01-19,24.5,14.8,18.8,14.9,79.7,3,100,1022.9,40.1,8.4,155.3,8
2022-01-20,25.6,14.1,19.9,13.5,68.7,0.2,100,1024.2,49.9,10,226,10
2022-01-21,27.5,12.2,20.3,8.6,52.8,0,0,1024.6,1.7,10.6,372.9,10
2022-01-22,22.2,12.1,17.2,9.4,61.8,0,0,1027.9,41.6,10.6,236,8
2022-01-23,23.6,11.5,17.4,9,60.2,0,0,1028,37.1,10,328.1,10
2022-01-24,26,11.2,19.8,10.2,56.4,0,0,1024.7,13.6,10,265.8,8
2022-01-25,28.5,15.8,22.5,11.8,53.2,0,0,1021.6,40,10,329.4,10
2022-01-26,26.8,15.3,20.8,13.7,65.6,0.1,100,1021.6,61.1,10,266.1,10
2022-01-27,25.3,17.4,21,15.5,71.7,0.47,100,1020.7,62.6,10.9,209.9,7
2022-01-28,25.5,16.7,20.4,16.8,80.3,7.215,100,1019,72.2,11.1,220.8,10
2022-01-29,21.7,16,18.7,14.5,77.2,10.826,100,1021,77,11.7,177.1,7
2022-01-30,22.4,16,18.6,15.4,82.5,1.337,100,1022.1,69.9,10.3,125.2,6
2022-01-31,25.1,16.9,19.8,14.5,74.3,2.851,100,1021.6,69,10,191.7,10
2022-02-01,26.1,14.5,20.1,12.5,64.9,0,0,1020.8,68.2,10.5,351,10
2022-02-02,29.1,14.2,21.9,13.7,61.4,0,0,1019.8,30.8,10.6,346.7,10
2022-02-03,29.2,17.3,23.6,15.4,62,0,0,1019.7,45.5,10.4,319,10
