year,gdd
1950-07,181.55
1951-07,182.31
1952-07,182.39
1953-07,184.2
1954-07,182.87
1955-07,184.97
1956-07,183.58
1957-07,182.82
1958-07,181.45
1959-07,181.25
1960-07,182.7
1961-07,181.16
1962-07,181.15
1963-07,183.36
1964-07,186.83
1965-07,182.26
1966-07,181.61
1967-07,184.95
1968-07,182.35
1969-07,181.84
1970-07,181.99
1971-07,181.25
1972-07,183.12
1973-07,181.42
1974-07,182.55
1975-07,181.61
1976-07,182.86
1977-07,183.82
1978-07,181.87
1979-07,182.18
1980-07,185.91
1981-07,182.74
1982-07,181.14
1983-07,181.64
1984-07,182.23
1985-07,181.1
1986-07,181.21
1987-07,181.42
1988-07,182.54
1989-07,182.77
1990-07,186.77
1991-07,181.24
1992-07,184.74
1993-07,181.7
1994-07,187.19
1995-07,182.05
1996-07,183.33
1997-07,185.67
1998-07,182.34
1999-07,181.09
2000-07,182.24
2001-07,185.75
2002-07,183.68
2003-07,181.59
2004-07,183.18
2005-07,181.73
2006-07,181.69
2007-07,184.21
2008-07,183.56
2009-07,182.58
2010-07,181.03
2011-07,186.12
2012-07,182.14
2013-07,181.42
2014-07,181.24
2015-07,181.22
2016-07,182.26
2017-07,181.08
2018-07,181.23
2019-07,181.09
2020-07,182.18
2021-07,181.07
2022-07,181.17
2023-07,181.07
2024-07,181.07
