potential_evapotranspiration,cloud_cover,precipitation,maximum_temperature,rain_days,minimum_temperature,vapour_pressure,ground_frost_frequency,diurnal_temperature_range,mean_temperature,soil_moisture,soil_mineral_fertilizers_nitrogen,soil_mineral_fertilizers_nitrogen_per_unit_area,soil_mineral_fertilizers_phosphorus,soil_mineral_fertilizers_phosphorus_per_unit_area,soil_mineral_fertilizers_potassium,soil_mineral_fertilizers_potassium_per_unit_area,soil_manure_applied_to_soils_nitrogen,soil_manure_applied_to_soils_nitrogen_per_unit_area,soil_manure_applied_to_soils_phosphorus,soil_manure_applied_to_soils_phosphorus_per_unit_area,soil_manure_applied_to_soils_potassium,soil_manure_applied_to_soils_potassium_per_unit_area,soil_atmospheric_deposition_nitrogen,soil_atmospheric_deposition_nitrogen_per_unit_area,soil_crop_removal_nitrogen,soil_crop_removal_nitrogen_per_unit_area,soil_crop_removal_phosphorus,soil_crop_removal_phosphorus_per_unit_area,soil_crop_removal_potassium,soil_crop_removal_potassium_per_unit_area,soil_biological_fixation_nitrogen,soil_biological_fixation_nitrogen_per_unit_area,soil_seed_nitrogen,soil_seed_nitrogen_per_unit_area,soil_seed_phosphorus,soil_seed_phosphorus_per_unit_area,soil_leaching_nitrogen,soil_leaching_nitrogen_per_unit_area,soil_volatilisation_nitrogen,soil_volatilisation_nitrogen_per_unit_area,satellite_NDVImean,satellite_NDVIstd,satellite_PETmean,satellite_PETstd,satellite_CHIRPSmean,satellite_CHIRPSstd
5.3,43.1,58.7,28.2,7.7,14.5,14.6,0.0,13.6,21.3,11.0754716981132,41659.2,3.4189,52859.6154,4.3381,24997.608,2.0515,41439.3957,3.4009,9261.6043,0.7601,34745.1584,2.8515,34109.8163,2.7993,153034.5923,12.5593,28087.389,2.3051,59249.8981,4.8625,36090.121,2.9618,1882.3675,0.1545,392.534,0.0322,13190.7191,1.0825,27140.3387,2.2274,0.560926061568025,0.286840127229096,0.228247951663599,0.398273116134189,58.4215560123839,25.0501039439234
4.9,44.2,53.8,29.0,7.2,16.0,16.0,0.0,13.0,22.5,10.9795918367347,41659.2,3.4189,52859.6154,4.3381,24997.608,2.0515,41439.3957,3.4009,9261.6043,0.7601,34745.1584,2.8515,34109.8163,2.7993,153034.5923,12.5593,28087.389,2.3051,59249.8981,4.8625,36090.121,2.9618,1882.3675,0.1545,392.534,0.0322,13190.7191,1.0825,27140.3387,2.2274,0.525178457946169,0.276411789790476,-0.004659930944292,0.444116550615071,43.8037902157353,21.2747880171881
3.9,42.1,72.2,27.1,8.9,14.0,16.2,0.0,13.1,20.5,18.5128205128205,41659.2,3.4189,52859.6154,4.3381,24997.608,2.0515,41439.3957,3.4009,9261.6043,0.7601,34745.1584,2.8515,34109.8163,2.7993,153034.5923,12.5593,28087.389,2.3051,59249.8981,4.8625,36090.121,2.9618,1882.3675,0.1545,392.534,0.0322,13190.7191,1.0825,27140.3387,2.2274,0.401023950506454,0.278175117573692,0.05686570671723,0.438983736401465,14.4184568921982,9.45158083792656
2.9,37.8,32.0,23.8,5.2,10.4,13.6,0.6,13.5,17.1,11.0344827586207,41659.2,3.4189,52859.6154,4.3381,24997.608,2.0515,41439.3957,3.4009,9261.6043,0.7601,34745.1584,2.8515,34109.8163,2.7993,153034.5923,12.5593,28087.389,2.3051,59249.8981,4.8625,36090.121,2.9618,1882.3675,0.1545,392.534,0.0322,13190.7191,1.0825,27140.3387,2.2274,0.208218684108183,0.292239776061355,0.031854550976512,0.454330797235181,9.32091505358309,10.2053970375881
2.3,28.7,10.2,22.0,2.3,7.3,11.1,3.3,14.7,14.6,4.43478260869565,41659.2,3.4189,52859.6154,4.3381,24997.608,2.0515,41439.3957,3.4009,9261.6043,0.7601,34745.1584,2.8515,34109.8163,2.7993,153034.5923,12.5593,28087.389,2.3051,59249.8981,4.8625,36090.12215085677,2.9618,1882.3675164789367,0.154500001170756,392.5340037112919,0.03220000027114862,13190.719412844064,1.0825000241747769,27140.339644495918,2.2274000740880227,0.0530413796681304,0.308989800315651,-0.0976782986963071,0.474995734613137,10.9085746734374,13.6934815410218
1.8,24.8,22.2,18.0,3.2,3.0,8.7,10.8,15.0,10.5,12.3333333333333,41659.2,3.4189,52859.6154,4.3381,24997.608,2.0515,41439.3957,3.4009,9261.6043,0.7601,34745.1584,2.8515,34109.8163,2.7993,153034.5923,12.5593,28087.389,2.3051,59249.8981,4.8625,36090.12249625637,2.9618,1882.3675247259598,0.1545000017564563,392.534005567432,0.032200000406687634,13190.71956915773,1.0825000362370707,27140.340115159233,2.2274001109553514,-0.0403946979489851,0.323864226789242,0.0219084412769136,0.488213016604788,9.39931471688419,13.424770346142
2.2,22.5,12.8,19.0,2.8,3.4,8.0,10.4,15.7,11.2,5.81818181818182,41659.2,3.4189,52859.6154,4.3381,24997.608,2.0515,41439.3957,3.4009,9261.6043,0.7601,34745.1584,2.8515,34109.8163,2.7993,153034.5923,12.5593,28087.389,2.3051,59249.8981,4.8625,36090.122491411945,2.9618,1882.3675230263582,0.15450000143926296,392.5340067640833,0.03220000047013038,13190.719908984403,1.0825000624415395,27140.34111330494,2.2274001889580877,-0.0775572733427637,0.321452298313804,0.0323792834109614,0.475857188908336,28.3487505758964,25.1268760773444
2.8,25.7,22.0,20.2,3.5,4.5,8.4,8.0,15.7,12.3,7.85714285714286,41659.2,3.4189,52859.6154,4.3381,24997.608,2.0515,41439.3957,3.4009,9261.6043,0.7601,34745.1584,2.8515,34109.8163,2.7993,153034.5923,12.5593,28087.389,2.3051,59249.8981,4.8625,36090.12133235238,2.9618,1882.3674941534512,0.15449999929086303,392.5340011092867,0.03220000004607857,13190.71955951702,1.0825000357483194,27140.34006912704,2.227400107915814,-0.0151399882916357,0.316165219083807,0.0578247393545258,0.440861893366949,60.702068125954,38.1584008188145
3.8,33.5,49.5,22.5,6.6,7.2,8.8,3.3,15.3,14.8,13.0263157894737,41659.2,3.4189,52859.6154,4.3381,24997.608,2.0515,41439.3957,3.4009,9261.6043,0.7601,34745.1584,2.8515,34109.8163,2.7993,153034.5923,12.5593,28087.389,2.3051,59249.8981,4.8625,36090.12134080963,2.9618,1882.367495428488,0.1544999994129685,392.53400113407986,0.03220000005168804,13190.719522351104,1.0825000328716672,27140.339960432353,2.227400099396897,0.148932713214835,0.319742205337991,0.0904756885551834,0.452571014706715,70.4658666732407,32.5109489572176
4.7,41.8,33.4,24.9,6.1,10.5,10.6,0.5,14.4,17.7,7.1063829787234,41659.2,3.4189,52859.6154,4.3381,24997.608,2.0515,41439.3957,3.4009,9261.6043,0.7601,34745.1584,2.8515,34109.8163,2.7993,153034.5923,12.5593,28087.389,2.3051,59249.8981,4.8625,36090.12126230894,2.9618,1882.3674946897622,0.15449999932864059,392.53400122899086,0.032200000054738026,13190.719569523988,1.0825000365052009,27140.340098112287,2.2274001101407874,0.297157098572035,0.331178799082391,0.0998268827385321,0.395268363913151,81.4748274575512,30.0063221863777
