"date","potential_evapotranspiration","cloud_cover","precipitation","maximum_temperature","rain_days","minimum_temperature","vapour_pressure","ground_frost_frequency","diurnal_temperature_range","mean_temperature","soil_moisture","wheat_ton_per_hectare","year","gdd"
2010-01-01,5.3,53.6,95.4,30.1,10.4,17.2,17,0,12.9,23.6,0.361968583040321,3.05,2010,19.65
2010-02-01,5.2,41.5,65.6,30.7,7.9,16.9,17.3,0,13.8,23.8,0.415738161559888,3.05,2010,19.8
2010-03-01,4.5,35.2,46.4,29.8,7.6,15.7,16.8,0,14.1,22.7,0.311327762302692,2.56,2010,18.75
2010-04-01,3.1,39,35.3,25.8,7.2,12.1,14,0.1,13.6,18.9,0.29464836613053,2.56,2010,14.95
2010-05-01,2.5,29.5,22.4,23.4,4.1,8.8,11.3,1.8,14.6,16.1,0.276301105220595,2.56,2010,12.1
2010-06-01,2.1,21.4,13.6,20.1,2.8,3.9,8.2,9,16.2,12,0.209614007162753,2.56,2010,8
2010-07-01,2.4,22.5,10.9,21.1,2.2,5.2,8.5,6.7,16,13.1,0.149615748109829,2.56,2010,9.15
2010-08-01,3.2,18.3,8.5,22.7,1.9,6,8.7,5,16.7,14.3,0.0977432973537602,2.56,2010,10.35
2010-09-01,4.3,28.3,10.5,26,2.7,9.3,10.3,1.1,16.8,17.6,0.0692292159260216,2.56,2010,13.65
2010-10-01,5,38.9,35,27,6,11.5,11.8,0.3,15.4,19.2,0.128214679017944,2.56,2010,15.25
2010-11-01,5.5,41.8,56.5,28.8,8.2,14.1,13.9,0,14.7,21.5,0.234553051405419,2.56,2010,17.45
2010-12-01,5.7,41.1,87.3,29.4,10.3,15.7,15.3,0,13.7,22.5,0.347476376431075,2.56,2010,18.55
2011-01-01,5.2,52.5,95.6,29.4,10.7,17,16.8,0,12.4,23.2,0.457630845917021,2.56,2011,19.2
2011-02-01,4.9,47.8,68.6,29.8,8.5,17,17.3,0,12.8,23.4,0.439763231197771,2.56,2011,19.4
