"Year","mineral_fertilizers_nitrogen","mineral_fertilizers_nitrogen_per_unit_area","mineral_fertilizers_phosphorus","mineral_fertilizers_phosphorus_per_unit_area","mineral_fertilizers_potassium","mineral_fertilizers_potassium_per_unit_area","manure_applied_to_soils_nitrogen","manure_applied_to_soils_nitrogen_per_unit_area","manure_applied_to_soils_phosphorus","manure_applied_to_soils_phosphorus_per_unit_area","manure_applied_to_soils_potassium","manure_applied_to_soils_potassium_per_unit_area","atmospheric_deposition_nitrogen","atmospheric_deposition_nitrogen_per_unit_area","crop_removal_nitrogen","crop_removal_nitrogen_per_unit_area","crop_removal_phosphorus","crop_removal_phosphorus_per_unit_area","crop_removal_potassium","crop_removal_potassium_per_unit_area","biological_fixation_nitrogen","biological_fixation_nitrogen_per_unit_area","seed_nitrogen","seed_nitrogen_per_unit_area","seed_phosphorus","seed_phosphorus_per_unit_area","leaching_nitrogen","leaching_nitrogen_per_unit_area","volatilisation_nitrogen","volatilisation_nitrogen_per_unit_area"
1961,41659.2,3.4189,52859.6154,4.3381,24997.608,2.0515,41439.3957,3.4009,9261.6043,0.7601,34745.1584,2.8515,34109.8163,2.7993,153034.5923,12.5593,28087.389,2.3051,59249.8981,4.8625,36090.121,2.9618,1882.3675,0.1545,392.534,0.0322,13190.7191,1.0825,27140.3387,2.2274
1962,63623.7,5.2001,62371.1952,5.0978,29121.4215,2.3802,41517.1605,3.3933,9293.9451,0.7596,34724.1534,2.8381,34919.6332,2.8541,158554.3126,12.9591,29119.2836,2.38,61707.5013,5.0435,34242.1747,2.7987,1782.9061,0.1457,384.3861,0.0314,14665.1721,1.1986,31540.3682,2.5779
1963,76500,6.222,59841,4.8671,33615,2.734,40994.0643,3.3342,9173.6982,0.7461,34296.5905,2.7895,35763.9219,2.9088,170266.8615,13.8485,31121.687,2.5312,65628.54,5.3378,42920.2076,3.4909,2021.5193,0.1644,423.9512,0.0345,15848.8129,1.289,35248.2193,2.8669
1964,83790,6.7846,58742.28,4.7565,52887.6,4.2824,40166.428,3.2523,9018.4324,0.7302,33460.0964,2.7093,36599.8709,2.9636,151587.0938,12.2743,26498.3117,2.1456,61028.5168,4.9416,36910.6114,2.9887,1966.3331,0.1592,394.3559,0.0319,16412.2856,1.3289,37186.9284,3.0111
1965,88650,7.1434,79068.6,6.3714,56473.2,4.5506,40069.4178,3.2288,8951.5805,0.7213,33673.5489,2.7134,37456.8415,3.0183,141889.9025,11.4335,25889.2559,2.0862,58202.6106,4.69,36760.5266,2.9622,1663.9672,0.1341,345.414,0.0278,16878.8836,1.3601,38615.8253,3.1117
1966,88110,7.0919,96138,7.7381,63495,5.1107,38312.5804,3.0838,8430.8614,0.6786,32373.1362,2.6057,38178.9311,3.073,166015.1874,13.3625,28433.316,2.2886,67695.1377,5.4487,37022.6008,2.9799,1590.6283,0.128,340.1078,0.0274,16473.5161,1.3259,37926.7741,3.0527
1967,117900,9.4714,100062,8.0384,64466.1,5.1788,38014.2523,3.0538,8359.0472,0.6715,32251.2287,2.5909,38933.7407,3.1277,262726.0497,21.1059,48058.1554,3.8607,97667.1064,7.846,50067.7908,4.0222,2740.5218,0.2202,596.9221,0.048,19392.8505,1.5579,46774.2757,3.7576
1968,129510,10.3882,104692.32,8.3976,71786.7,5.7581,39549.469,3.1723,8729.7465,0.7002,33375.9286,2.6771,39675.1754,3.1824,183979.5026,14.7573,31762.2288,2.5477,74121.877,5.9454,42974.548,3.4471,2406.949,0.1931,482.5205,0.0387,20860.8938,1.6733,50717.8407,4.0682
1969,135000,10.8121,105830.28,8.4759,66632.4,5.3366,40943.9006,3.2792,9098.5111,0.7287,34269.5823,2.7446,40418.6007,3.2371,192876.3641,15.4474,32804.7126,2.6273,76705.0694,6.1433,46244.4091,3.7037,2333.2685,0.1869,470.8386,0.0377,21688.7801,1.737,52783.1702,4.2274
1970,162495,13.0048,110166.3,8.8168,71898.75,5.7542,39895.3967,3.1929,8824.4889,0.7062,33896.3511,2.7128,41131.0989,3.2918,196083.1759,15.6929,35215.3968,2.8184,77176.486,6.1766,47405.9676,3.794,2559.387,0.2048,518.7261,0.0415,24233.0793,1.9394,60730.619,4.8604
1971,187560,14.988,119995.92,9.5889,76941,6.1484,37099.4033,2.9646,8179.7959,0.6537,31641.1215,2.5285,45274.6735,3.6179,253330.1707,20.2437,45823.708,3.6618,95770.4289,7.6531,45726.5768,3.654,2931.2727,0.2342,619.0155,0.0495,26175.8807,2.0917,67397.821,5.3858
1972,217575,17.3671,128275.56,10.2391,87137.55,6.9554,37432.5677,2.9879,8314.4056,0.6637,31626.606,2.5245,46721.6139,3.7294,268113.7824,21.4012,48989.3802,3.9104,101343.4862,8.0894,45608.1697,3.6405,3123.3565,0.2493,665.1933,0.0531,30256.5135,2.4151,79539.7703,6.349
1973,207945,16.5799,132533.1,10.5671,94719.6,7.5522,38311.5725,3.0547,8574.3576,0.6837,31903.958,2.5438,48691.6346,3.8823,190002.7567,15.1493,31692.0807,2.5269,75662.062,6.0327,30841.4533,2.4591,2749.4112,0.2192,526.8731,0.042,28461.3145,2.2693,73890.4718,5.8914
1974,217463.85,17.3195,141303.24,11.2538,98401.9365,7.837,38269.069,3.0479,8565.0985,0.6822,32304.4766,2.5728,49466.1036,3.9396,301117.7912,23.982,55723.6846,4.438,111961.0391,8.9169,54511.3867,4.3415,3260.1369,0.2596,706.4097,0.0563,28367.5838,2.2593,73622.0307,5.8635
1975,259117.2,20.6221,141819.6384,11.2869,95191.704,7.5759,38101.2456,3.0323,8580.212,0.6829,31885.5866,2.5377,50988.6859,4.058,264987.2127,21.0893,48436.8402,3.8549,102147.0056,8.1295,35002.5886,2.7857,3163.8764,0.2518,669.217,0.0533,33298.6891,2.6501,88465.6937,7.0406
