"production_year","maize_ton_per_hectare","maize_comm_ton_per_hectare","maize_non_comm_ton_per_hectare","wheat_ton_per_hectare","groundnuts_ton_per_hectare","sunflowerseed_ton_per_hectare","sorghum_ton_per_hectare","soybeans_ton_per_hectare","barley_ton_per_hectare","canola_ton_per_hectare","oats_ton_per_hectare"
"1910/11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1911/12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1912/13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1913/14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1914/15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1915/16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1916/17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1917/18",NA,NA,NA,0.67,NA,NA,NA,NA,NA,NA,NA
"1918/19",NA,NA,NA,0.6,NA,NA,NA,NA,NA,NA,NA
"1919/20",NA,0.7,NA,0.42,NA,NA,NA,NA,NA,NA,NA
"1920/21",NA,0.78,NA,0.56,NA,NA,NA,NA,NA,NA,NA
"1921/22",NA,0.65,NA,0.57,NA,NA,NA,NA,NA,NA,NA
"1922/23",NA,0.96,NA,0.5,NA,NA,NA,NA,NA,NA,NA
"1923/24",NA,0.65,NA,0.51,NA,NA,NA,NA,NA,NA,NA
"1924/25",NA,0.98,NA,0.63,NA,NA,NA,NA,NA,NA,NA
"1925/26",NA,0.58,NA,0.62,NA,NA,NA,NA,NA,NA,NA
"1926/27",NA,0.79,NA,0.62,NA,NA,NA,NA,NA,NA,NA
"1927/28",NA,0.91,NA,0.49,NA,NA,NA,NA,NA,NA,NA
"1928/29",NA,0.78,NA,0.59,NA,NA,NA,NA,NA,NA,NA
"1929/30",NA,0.79,NA,0.66,NA,NA,NA,NA,NA,NA,NA
"1930/31",NA,0.67,NA,0.51,NA,NA,NA,NA,NA,NA,NA
"1931/32",NA,0.71,NA,0.55,NA,NA,NA,NA,NA,NA,NA
"1932/33",NA,0.31,NA,0.48,NA,NA,NA,NA,NA,NA,NA
"1933/34",NA,0.91,NA,0.65,NA,NA,NA,NA,NA,NA,NA
"1934/35",NA,0.7,NA,0.59,NA,NA,NA,NA,NA,NA,NA
"1935/36",NA,0.65,NA,0.67,NA,NA,NA,NA,NA,NA,NA
"1936/37",0.84,1.01,0.29,0.45,0.41,0.39,0.73,NA,0.74,NA,NA
"1937/38",0.59,0.78,0.2,0.39,0.3,0.39,0.73,NA,0.74,NA,NA
"1938/39",0.88,1.05,0.3,0.56,0.41,0.39,0.73,NA,0.74,NA,NA
"1939/40",0.59,0.73,0.22,0.49,0.29,0.39,0.73,NA,0.74,NA,NA
"1940/41",0.7,0.85,0.26,0.46,0.26,0.34,0.82,NA,0.74,NA,NA
"1941/42",0.47,0.63,0.18,0.38,0.16,0.34,0.82,NA,0.76,NA,NA
"1942/43",0.65,0.79,0.24,0.52,0.33,0.34,0.82,NA,0.76,NA,NA
